(1.392805'	'1.733089'	'1.426833)
(1.440058'	'1.830360'	'1.479088)
(1.485539'	'1.922827'	'1.529268)
(1.526693'	'2.004787'	'1.574503)
(1.561100'	'2.071223'	'1.612113)
(1.586586'	'2.118129'	'1.639740)
(1.601335'	'2.142765'	'1.655478)
(1.604006'	'2.143821'	'1.657987)
(1.593834'	'2.121493'	'1.646599)
(1.570715'	'2.077444'	'1.621388)
(1.535267'	'2.014685'	'1.583209)
(1.488852'	'1.937361'	'1.533703)
(1.433549'	'1.850468'	'1.475241)
(1.372086'	'1.759526'	'1.410830)
(1.307713'	'1.670214'	'1.343963)
(1.244023'	'1.588015'	'1.278422)
(1.184744'	'1.517869'	'1.218057)
(1.133491'	'1.463876'	'1.166530)
(1.093515'	'1.429048'	'1.127068)
(1.067461'	'1.415148'	'1.102230)
(1.057158'	'1.422602'	'1.093702)
(1.063459'	'1.450502'	'1.102163)
(1.086151'	'1.496698'	'1.127206)
(1.123945'	'1.557963'	'1.167347)
(1.174547'	'1.630230'	'1.220115)
(1.234813'	'1.708881'	'1.282220)
(1.300979'	'1.789067'	'1.349788)
(1.368934'	'1.866042'	'1.418645)
(1.434539'	'1.935485'	'1.484633)
(1.493938'	'1.993798'	'1.543924)
(1.543861'	'2.038349'	'1.593310)
(1.581872'	'2.067656'	'1.630450)
(1.606551'	'2.081489'	'1.654045)
(1.617601'	'2.080897'	'1.663930)
(1.615853'	'2.068133'	'1.661081)
(1.603190'	'2.046515'	'1.647523)
(1.582377'	'2.020194'	'1.626158)
(1.556824'	'1.993867'	'1.600529)
(1.530305'	'1.972449'	'1.574520)
(1.506639'	'1.960716'	'1.552047)
(1.489379'	'1.962945'	'1.536735)
(1.481519'	'1.982588'	'1.531626)
(1.485260'	'2.021984'	'1.538932)
(1.501825'	'2.082140'	'1.559857)
(1.531369'	'2.162606'	'1.594493)
(1.572964'	'2.261434'	'1.641811)
(1.624676'	'2.375249'	'1.699734)
(1.683712'	'2.499411'	'1.765282)
(1.746636'	'2.628273'	'1.834800)
(1.809630'	'2.755513'	'1.904218)
(1.868780'	'2.874516'	'1.969354)
(1.920368'	'2.978793'	'2.026211)
(1.961143'	'3.062387'	'2.071268)
(1.988555'	'3.120270'	'2.101726)
(2.000935'	'3.148674'	'2.115709)
(1.997618'	'3.145351'	'2.112391)
(1.978978'	'3.109744'	'2.092054)
(1.946409'	'3.043048'	'2.056073)
(1.902226'	'2.948166'	'2.006820)
(1.849509'	'2.829566'	'1.947514)
(1.791906'	'2.693029'	'1.882018)
(1.733403'	'2.545341'	'1.814597)
(1.678079'	'2.393911'	'1.749662)
(1.629868'	'2.246371'	'1.691518)
(1.592344'	'2.110171'	'1.644127)
(1.568537'	'1.992196'	'1.610903)
(1.560799'	'1.898435'	'1.594563)
(1.570720'	'1.833714'	'1.597020)
(1.599103'	'1.801513'	'1.619344)
(1.645993'	'1.803874'	'1.661781)
(1.710758'	'1.841398'	'1.723822)
(1.792208'	'1.913326'	'1.804320)
(1.888756'	'2.017686'	'1.901649)
(1.998587'	'2.151497'	'2.013878)
(2.119837'	'2.311005'	'2.138954)
(2.250770'	'2.491917'	'2.274885)
(2.389923'	'2.689633'	'2.419894)
(2.536231'	'2.899437'	'2.572551)
(2.689107'	'3.116648'	'2.731862)
(2.848487'	'3.336715'	'2.897309)
(3.014813'	'3.555262'	'3.068858)
(3.188994'	'3.768099'	'3.246905)
(3.372307'	'3.971195'	'3.432196)
(3.566279'	'4.160654'	'3.625716)
(3.772531'	'4.332703'	'3.828548)
(3.992618'	'4.483717'	'4.041728)
(4.227860'	'4.610295'	'4.266103)
(4.479171'	'4.709397'	'4.502193)
(4.746918'	'4.778543'	'4.750081)
(5.030800'	'4.816054'	'5.009325)
(5.329762'	'4.821325'	'5.278918)
(5.641959'	'4.795095'	'5.557273)
(5.964767'	'4.739677'	'5.842258)
(6.294841'	'4.659116'	'6.131268)
(6.628232'	'4.559248'	'6.421334)
(6.960551'	'4.447624'	'6.709258)
(7.287162'	'4.333295'	'6.991776)
(7.603423'	'4.226450'	'7.265726)
(7.904925'	'4.137921'	'7.528224)
(8.187744'	'4.078584'	'7.776828)
(8.448677'	'4.058688'	'8.009678)
(8.685445'	'4.087159'	'8.225617)
(8.896854'	'4.170938'	'8.424263)
(9.082898'	'4.314393'	'8.606047)
(9.244793'	'4.518874'	'8.772201)
(9.384945'	'4.782429'	'8.924694)
(9.506838'	'5.099738'	'9.066128)
(9.614854'	'5.462269'	'9.199596)
(9.714040'	'5.858661'	'9.328502)
(9.809819'	'6.275318'	'9.456369)
(9.907678'	'6.697187'	'9.586629)
(10.012851'	'7.108660'	'9.722432)
(10.130016'	'7.494551'	'9.866469)
(10.263022'	'7.841075'	'10.020827)
(10.414684'	'8.136756'	'10.186891)
(10.586641'	'8.373201'	'10.365297)
(10.779296'	'8.545668'	'10.555934)
(10.991841'	'8.653402'	'10.757997)
(11.222358'	'8.699691'	'10.970091)
(11.467994'	'8.691650'	'11.190360)
(11.725185'	'8.639742'	'11.416641)
(11.989914'	'8.557064'	'11.646629)
(12.257984'	'8.458473'	'11.878033)
(12.525282'	'8.359591'	'12.108713)
(12.788020'	'8.275781'	'12.336796)
(13.042932'	'8.221162'	'12.560755)
(13.287433'	'8.207736'	'12.779463)
(13.519706'	'8.244680'	'12.992203)
(13.738756'	'8.337855'	'13.198666)
(13.944399'	'8.489554'	'13.398914)
(14.137210'	'8.698495'	'13.593338)
