(41.4938,-38.4367,751.5452)	(59.2298,-35.6503,761.4468)	(50.2741,0.0173,754.6732)	(47.9576,10.3785,739.7318)	(5.1917,-13.5439,769.8507)	(31.7969,-13.4213,768.6814)	(73.0346,-17.2748,766.4674)	(97.4858,-16.0391,771.3156)	(32.9478,54.7544,752.9749)	(52.0379,44.1435,747.8289)	(77.3157,52.3391,752.7474)	(54.4657,63.5270,746.9018)	
(0.0000,0.0000,-1.0000)	(59.0098,-35.6503,761.4340)	(50.2741,0.0173,754.6732)	(47.9576,10.3746,739.7266)	(5.1917,-13.5439,769.8488)	(29.1329,-13.4293,768.7035)	(73.0386,-17.2748,768.4528)	(97.4938,-16.0391,771.3265)	(32.8788,54.7544,751.9892)	(51.9352,44.0864,746.8561)	(77.3157,52.3391,752.7401)	(54.4657,63.5270,746.9018)	
(41.8400,-35.7019,757.5318)	(59.0098,-35.6463,759.4592)	(49.9679,2.6307,752.6632)	(47.9576,10.3669,739.7071)	(5.1957,-13.5439,771.8482)	(29.1329,-13.4293,768.7035)	(74.1169,-17.2748,768.4602)	(97.4978,-16.0169,771.3265)	(32.9517,54.8096,752.9822)	(51.9352,44.0864,746.8561)	(77.3157,52.3391,752.7439)	(54.4657,63.5270,746.9018)	
(38.6072,-38.9195,757.5644)	(59.0098,-39.6028,761.4540)	(50.0751,0.0207,754.6732)	(47.7622,10.3542,742.7004)	(2.5328,-16.2174,771.8704)	(29.1329,-17.3505,769.7140)	(73.0346,-18.5487,766.4730)	(97.4978,-19.9522,773.3301)	(32.8827,54.7544,751.9892)	(52.0379,44.1435,747.8289)	(77.3196,52.3391,752.7420)	(54.4657,63.5270,746.9018)	
(41.6610,-35.6051,756.5778)	(59.0098,-35.6503,761.4340)	(50.0673,2.6325,752.6706)	(47.7622,10.3542,738.7394)	(5.1997,-13.5439,771.8482)	(29.0667,-13.4213,766.7138)	(73.0306,-17.2266,766.4637)	(100.1647,-19.9522,771.3081)	(32.8749,57.3628,752.9910)	(51.9352,44.0864,746.8561)	(77.3157,52.3391,752.7240)	(54.4657,63.5270,746.8946)	
(0.0000,0.0000,-1.0000)	(59.0098,-39.4957,759.4684)	(50.0751,0.0207,754.6606)	(47.7622,10.3542,742.7004)	(5.1997,-16.1641,771.8556)	(29.0667,-17.3505,768.7182)	(73.0306,-18.5487,766.4656)	(97.4858,-19.9013,773.3116)	(32.8672,57.3628,752.0000)	(51.9352,44.0864,746.8542)	(77.3118,54.9508,752.7455)	(54.4657,63.5270,746.9018)	
(41.6610,-39.1301,759.5612)	(61.6501,-38.2893,761.4376)	(50.2741,0.0173,754.6858)	(47.7622,10.3542,742.7004)	(5.1997,-16.1641,771.8556)	(31.7969,-17.3425,768.7016)	(73.0306,-18.5487,766.4656)	(100.4922,-19.9481,776.2864)	(30.3426,54.8135,753.0020)	(51.9352,44.0864,746.8561)	(77.3157,52.3391,752.7276)	(54.4657,63.5270,746.9018)	
(41.8400,-38.3409,761.5672)	(61.6501,-38.2893,761.4414)	(50.2741,0.0173,754.6912)	(47.7622,10.3542,742.7004)	(3.9289,-14.8706,771.8684)	(31.9361,-14.7238,771.7018)	(73.0306,-15.8965,768.4730)	(100.4842,-19.9481,776.2864)	(30.3426,57.4293,753.0108)	(51.9352,44.0864,746.8542)	(77.3157,52.3391,752.7188)	(54.4657,63.5270,746.9018)	
(41.4062,-41.6243,759.5358)	(61.4231,-39.4918,759.4519)	(50.2741,0.0173,756.6523)	(47.7622,10.3542,742.7004)	(3.9289,-14.8706,771.8684)	(31.8008,-17.3425,769.7011)	(73.1498,-15.9412,768.4785)	(100.1727,-19.9481,775.3058)	(32.9440,57.4253,752.9964)	(51.9352,44.0864,746.8614)	(77.3118,54.9508,752.7546)	(54.4657,63.5270,746.9018)	
(41.8361,-38.2371,761.5398)	(59.2298,-39.6028,761.4668)	(53.0961,0.0218,756.6504)	(50.3368,10.3863,742.6932)	(4.0036,-13.5782,773.8680)	(31.9441,-16.0919,769.7030)	(73.1538,-15.9412,769.4649)	(100.4922,-19.9481,776.2864)	(32.9517,54.8175,752.9856)	(52.0379,44.1435,747.8183)	(80.2029,52.4821,754.7088)	(54.4657,63.5270,746.9018)	
(42.0151,-38.4447,763.5604)	(59.2298,-39.7099,763.4560)	(50.4731,0.0139,757.6571)	(47.9576,10.3746,742.7146)	(5.2738,-14.9205,773.8550)	(31.9521,-16.0879,771.7021)	(73.1618,-15.9636,769.4760)	(100.4962,-19.9990,778.2844)	(32.9595,54.8253,752.9892)	(52.0379,44.1435,747.8558)	(77.5751,55.0930,754.7340)	(54.4657,63.5270,746.9018)	
(42.1106,-38.4926,764.5489)	(59.2298,-39.7099,763.4598)	(50.5726,0.0122,757.6770)	(47.9653,7.8049,744.7030)	(5.2778,-14.9205,773.8550)	(32.0914,-16.0839,771.7021)	(74.3748,-17.3029,769.4613)	(97.4978,-19.9522,773.3226)	(32.9595,54.8214,752.9892)	(52.2512,41.6642,749.8445)	(77.5868,52.4743,754.7286)	(51.8772,63.5192,746.9161)	
(41.8400,-38.3369,761.5672)	(59.2298,-39.7099,763.4598)	(50.4731,0.0139,757.6552)	(48.1608,7.8118,746.6878)	(5.2698,-16.2094,771.8576)	(29.2773,-16.1450,771.7169)	(74.3669,-17.2828,768.4695)	(97.8024,-19.9562,775.3207)	(32.9517,54.8175,752.9856)	(52.0379,44.1435,747.8308)	(77.3157,52.3391,752.7546)	(53.1830,60.9360,746.9088)	
