(30.4360, 58.6925, 47.4418) (48.6636, -0.2409, 27.1834) (62.7173, 91.3773, 25.2347) (51.1165, 76.4525, 51.7745) (-50.2103, -48.4499, -36.0089) (761.4546, 773.3316, 766.5070) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(30.4322, 58.9051, 47.4418) (48.6636, -0.2409, 27.0497) (62.7173, 92.7066, 25.2347) (51.1204, 76.4565, 51.7745) (-50.3372, -48.4499, -36.0089) (761.4602, 775.2909, 766.5070) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(30.2879, 58.9090, 47.4457) (48.3812, -0.2409, 27.0497) (64.0306, 92.7145, 25.3489) (51.1126, 76.4565, 51.5832) (-50.2103, -49.7932, -36.0049) (761.4546, 773.3206, 768.4834) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.0010, 59.9833, 46.1424) (48.4676, -0.2409, 27.1834) (64.0306, 92.7145, 25.2347) (51.1204, 78.0585, 51.7745) (-50.2103, -49.7932, -36.0089) (761.4565, 775.2909, 766.5070) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(28.9971, 58.6886, 46.3357) (47.1716, -1.5038, 27.1834) (64.0306, 92.7026, 25.3489) (51.1204, 76.4565, 50.5362) (-50.2103, -48.4458, -36.0129) (761.4584, 773.3316, 768.4907) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(30.2879, 58.9128, 46.3318) (47.1716, -0.2409, 27.0458) (62.7173, 92.7106, 25.3489) (51.1126, 77.8014, 50.5362) (-50.2063, -49.7932, -36.0129) (761.4492, 775.2779, 768.4962) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(28.9971, 58.9128, 47.6346) (48.4676, -0.2409, 27.0497) (64.0306, 91.2374, 25.3489) (51.1204, 76.4525, 50.5362) (-50.2103, -48.4458, -36.0129) (761.4602, 773.3262, 768.4962) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(28.9971, 60.2032, 46.1424) (48.4715, -0.2449, 27.0497) (64.0306, 91.2295, 25.3489) (51.1244, 76.4565, 51.5832) (-50.2103, -48.4458, -36.0049) (761.4602, 773.3262, 768.4834) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.1380, 58.9128, 46.1424) (47.1716, -0.2409, 27.1834) (64.0306, 92.7145, 25.2347) (51.1204, 78.0625, 51.7745) (-50.2142, -49.7932, -36.0089) (761.4600, 775.2928, 766.5070) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.1418, 58.9167, 47.6346) (48.4676, -1.4462, 27.0497) (62.7173, 92.7145, 25.3529) (51.1204, 78.0625, 51.5871) (-50.2103, -49.9203, -37.3385) (761.4565, 775.3038, 766.4960) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.1418, 58.9128, 47.6346) (48.4676, -0.2409, 27.0497) (62.7173, 92.7145, 25.3529) (51.1126, 76.4565, 50.5362) (-50.2103, -48.4499, -36.0129) (761.4546, 775.2909, 768.4981) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(30.4360, 58.6886, 47.4418) (48.6636, -0.2409, 27.0497) (62.7173, 91.3773, 25.2347) (51.1165, 76.4485, 51.7745) (-50.2103, -49.7932, -37.2462) (761.4565, 773.3003, 766.4922) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(28.9971, 58.9090, 46.3318) (48.3812, -0.2488, 27.1834) (62.7173, 92.7066, 25.3489) (51.1165, 77.8014, 51.7745) (-50.2103, -49.7932, -36.0049) (761.4565, 775.2779, 768.4834) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.0010, 58.9167, 46.3318) (47.0792, -0.2409, 27.0497) (64.0306, 92.7106, 25.3489) (51.1126, 78.0544, 51.7785) (-50.0833, -49.7932, -36.0089) (759.4726, 775.2834, 768.4888) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.0010, 58.6964, 46.3318) (48.4676, -0.2449, 27.0497) (64.0306, 92.5649, 25.3489) (51.1165, 76.4525, 51.7745) (-50.2103, -49.7317, -37.3385) (761.4546, 773.3132, 766.4960) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(30.2879, 59.9794, 47.6346) (48.3734, -0.2449, 27.1834) (62.7173, 91.2374, 26.5686) (51.1204, 76.4565, 50.5362) (-50.2103, -48.4499, -36.0129) (761.4584, 773.3316, 768.4907) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.0010, 58.6964, 46.1424) (48.4676, -0.2449, 27.1834) (62.7173, 91.2374, 25.3489) (51.3119, 78.0544, 51.5832) (-50.3451, -49.7932, -36.0049) (763.4510, 775.2779, 766.5143) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(28.9971, 58.9051, 47.6346) (48.4676, -0.2449, 27.1834) (62.7173, 92.7145, 26.5686) (51.1283, 78.0544, 51.7745) (-50.3372, -48.5695, -36.0049) (761.4657, 775.3094, 768.4962) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.1418, 58.6964, 46.1424) (48.3734, -0.2449, 27.0458) (64.0306, 91.2374, 25.3489) (51.3119, 75.1077, 51.7785) (-50.3372, -49.7317, -36.0049) (763.4402, 773.3078, 768.4926) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
(29.0049, 58.6925, 46.1424) (48.3734, -0.2409, 27.1834) (62.7173, 92.7106, 26.5686) (51.1204, 76.4565, 51.7745) (-50.2103, -49.7932, -36.0089) (761.4530, 773.3188, 766.5143) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000) (0.0000, 0.0000, 0.0000)
