PicNumber	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68
0000	"(303,142)"	"(306,158)"	"(310,174)"	"(314,188)"	"(320,202)"	"(329,214)"	"(340,223)"	"(354,230)"	"(368,231)"	"(382,227)"	"(393,219)"	"(401,208)"	"(407,195)"	"(410,181)"	"(412,166)"	"(414,151)"	"(415,136)"	"(314,137)"	"(321,132)"	"(331,132)"	"(340,133)"	"(350,137)"	"(374,135)"	"(382,131)"	"(391,127)"	"(400,126)"	"(408,129)"	"(363,148)"	"(364,158)"	"(365,168)"	"(366,178)"	"(356,184)"	"(361,185)"	"(366,186)"	"(371,184)"	"(375,183)"	"(326,149)"	"(332,146)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(377,149)"	"(383,143)"	"(391,141)"	"(398,144)"	"(393,149)"	"(385,150)"	"(345,201)"	"(354,198)"	"(360,196)"	"(366,198)"	"(372,196)"	"(378,197)"	"(386,199)"	"(379,205)"	"(373,208)"	"(367,209)"	"(361,208)"	"(353,206)"	"(348,201)"	"(360,201)"	"(366,201)"	"(372,200)"	"(383,199)"	"(372,200)"	"(366,202)"	"(360,201)"
0001	"(303,143)"	"(306,158)"	"(310,174)"	"(314,188)"	"(320,202)"	"(329,213)"	"(340,223)"	"(353,230)"	"(368,231)"	"(381,228)"	"(393,219)"	"(401,208)"	"(408,196)"	"(411,182)"	"(412,167)"	"(414,152)"	"(415,138)"	"(314,138)"	"(322,132)"	"(331,132)"	"(341,133)"	"(350,137)"	"(374,136)"	"(382,130)"	"(391,127)"	"(400,127)"	"(408,130)"	"(363,147)"	"(364,158)"	"(365,168)"	"(365,178)"	"(355,184)"	"(361,185)"	"(366,186)"	"(371,184)"	"(375,182)"	"(326,149)"	"(333,146)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(377,149)"	"(384,143)"	"(392,141)"	"(399,144)"	"(393,148)"	"(385,150)"	"(345,201)"	"(354,198)"	"(360,196)"	"(366,198)"	"(372,196)"	"(378,197)"	"(386,199)"	"(380,204)"	"(373,208)"	"(367,209)"	"(361,208)"	"(353,206)"	"(348,201)"	"(360,201)"	"(366,201)"	"(372,200)"	"(383,199)"	"(372,200)"	"(366,202)"	"(360,201)"
0002	"(303,144)"	"(307,159)"	"(311,174)"	"(314,189)"	"(320,202)"	"(329,214)"	"(340,223)"	"(354,230)"	"(368,230)"	"(382,227)"	"(393,218)"	"(401,207)"	"(408,195)"	"(411,181)"	"(412,166)"	"(414,152)"	"(416,137)"	"(314,138)"	"(321,133)"	"(331,132)"	"(340,133)"	"(350,137)"	"(374,136)"	"(382,130)"	"(391,127)"	"(400,126)"	"(408,130)"	"(363,147)"	"(364,157)"	"(365,167)"	"(366,177)"	"(356,184)"	"(361,185)"	"(366,186)"	"(371,184)"	"(375,183)"	"(326,149)"	"(333,146)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(378,149)"	"(384,143)"	"(392,141)"	"(399,143)"	"(394,148)"	"(386,150)"	"(345,201)"	"(354,198)"	"(361,196)"	"(366,198)"	"(372,196)"	"(378,197)"	"(386,198)"	"(379,204)"	"(373,208)"	"(367,209)"	"(361,208)"	"(353,206)"	"(348,201)"	"(361,201)"	"(367,201)"	"(372,200)"	"(383,199)"	"(372,200)"	"(367,201)"	"(361,201)"
0003	"(304,144)"	"(307,159)"	"(310,174)"	"(314,189)"	"(320,202)"	"(329,213)"	"(340,223)"	"(353,229)"	"(368,230)"	"(381,227)"	"(392,219)"	"(401,209)"	"(407,196)"	"(410,181)"	"(412,166)"	"(414,151)"	"(415,137)"	"(314,137)"	"(321,132)"	"(331,132)"	"(340,133)"	"(349,137)"	"(375,135)"	"(383,130)"	"(391,127)"	"(400,126)"	"(408,130)"	"(363,147)"	"(364,158)"	"(364,168)"	"(365,178)"	"(355,184)"	"(361,185)"	"(366,186)"	"(370,184)"	"(375,183)"	"(326,149)"	"(333,145)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(378,149)"	"(384,143)"	"(392,141)"	"(399,144)"	"(394,149)"	"(386,150)"	"(345,201)"	"(354,198)"	"(361,196)"	"(366,198)"	"(371,196)"	"(378,197)"	"(387,198)"	"(380,205)"	"(373,208)"	"(367,209)"	"(361,209)"	"(354,206)"	"(348,201)"	"(361,201)"	"(366,201)"	"(372,201)"	"(384,199)"	"(372,201)"	"(366,202)"	"(361,201)"
0004	"(304,144)"	"(307,159)"	"(311,174)"	"(314,189)"	"(320,203)"	"(329,214)"	"(340,223)"	"(354,230)"	"(368,231)"	"(381,228)"	"(392,219)"	"(401,208)"	"(407,195)"	"(411,181)"	"(413,166)"	"(415,151)"	"(416,136)"	"(314,137)"	"(321,132)"	"(331,132)"	"(340,133)"	"(349,137)"	"(374,136)"	"(382,130)"	"(391,127)"	"(400,126)"	"(409,129)"	"(363,147)"	"(364,157)"	"(364,167)"	"(365,178)"	"(355,184)"	"(360,185)"	"(365,186)"	"(371,184)"	"(375,183)"	"(325,149)"	"(333,146)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(378,149)"	"(384,143)"	"(392,141)"	"(399,143)"	"(394,149)"	"(386,150)"	"(345,201)"	"(353,198)"	"(360,197)"	"(366,198)"	"(372,196)"	"(379,197)"	"(386,199)"	"(380,205)"	"(373,208)"	"(366,209)"	"(360,208)"	"(353,206)"	"(348,201)"	"(360,201)"	"(366,201)"	"(372,200)"	"(384,199)"	"(372,200)"	"(366,202)"	"(360,201)"
0005	"(303,143)"	"(306,158)"	"(310,173)"	"(314,188)"	"(319,202)"	"(328,213)"	"(340,222)"	"(353,229)"	"(368,231)"	"(382,227)"	"(393,219)"	"(402,208)"	"(408,195)"	"(411,180)"	"(413,166)"	"(416,151)"	"(417,136)"	"(314,136)"	"(322,132)"	"(331,132)"	"(341,133)"	"(350,137)"	"(374,136)"	"(382,131)"	"(391,127)"	"(400,126)"	"(409,129)"	"(363,147)"	"(364,157)"	"(364,168)"	"(365,178)"	"(355,184)"	"(360,185)"	"(365,186)"	"(370,184)"	"(375,183)"	"(326,149)"	"(333,145)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(377,149)"	"(384,143)"	"(392,142)"	"(399,144)"	"(393,149)"	"(386,150)"	"(345,201)"	"(354,198)"	"(360,197)"	"(366,198)"	"(372,196)"	"(378,198)"	"(387,198)"	"(379,205)"	"(372,208)"	"(366,209)"	"(360,208)"	"(353,205)"	"(348,201)"	"(360,201)"	"(366,201)"	"(372,200)"	"(384,199)"	"(372,200)"	"(366,201)"	"(360,200)"
0006	"(303,142)"	"(306,158)"	"(310,173)"	"(314,188)"	"(320,202)"	"(329,213)"	"(340,223)"	"(354,230)"	"(368,231)"	"(381,228)"	"(392,219)"	"(401,209)"	"(407,196)"	"(411,181)"	"(413,166)"	"(415,151)"	"(416,135)"	"(314,137)"	"(321,133)"	"(331,132)"	"(340,133)"	"(349,137)"	"(374,136)"	"(382,131)"	"(391,127)"	"(400,126)"	"(408,129)"	"(363,148)"	"(364,158)"	"(365,168)"	"(365,178)"	"(355,184)"	"(360,185)"	"(366,186)"	"(371,184)"	"(375,183)"	"(326,149)"	"(333,146)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(378,149)"	"(384,143)"	"(391,142)"	"(398,144)"	"(393,149)"	"(385,150)"	"(345,201)"	"(354,198)"	"(360,197)"	"(366,198)"	"(371,196)"	"(378,197)"	"(386,199)"	"(379,205)"	"(373,208)"	"(366,209)"	"(360,209)"	"(353,206)"	"(348,201)"	"(360,201)"	"(366,201)"	"(372,200)"	"(383,199)"	"(372,200)"	"(366,202)"	"(360,201)"
0007	"(303,143)"	"(306,158)"	"(310,173)"	"(314,188)"	"(319,202)"	"(329,214)"	"(340,223)"	"(354,230)"	"(368,230)"	"(381,227)"	"(393,219)"	"(401,208)"	"(407,194)"	"(411,180)"	"(412,165)"	"(414,150)"	"(415,135)"	"(314,137)"	"(321,132)"	"(330,132)"	"(340,134)"	"(349,137)"	"(375,136)"	"(383,130)"	"(391,127)"	"(400,126)"	"(408,129)"	"(363,148)"	"(364,158)"	"(364,168)"	"(365,178)"	"(355,184)"	"(360,185)"	"(366,186)"	"(370,184)"	"(375,183)"	"(326,149)"	"(332,146)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(378,149)"	"(384,143)"	"(391,141)"	"(398,144)"	"(393,148)"	"(385,150)"	"(345,201)"	"(353,198)"	"(360,196)"	"(366,198)"	"(372,196)"	"(378,197)"	"(386,199)"	"(379,205)"	"(373,208)"	"(367,209)"	"(360,208)"	"(353,206)"	"(348,201)"	"(360,201)"	"(366,201)"	"(372,200)"	"(383,199)"	"(372,200)"	"(366,201)"	"(360,201)"
0008	"(304,144)"	"(306,159)"	"(310,175)"	"(314,189)"	"(320,203)"	"(329,214)"	"(340,223)"	"(353,230)"	"(368,231)"	"(381,228)"	"(392,219)"	"(401,208)"	"(407,196)"	"(411,181)"	"(413,166)"	"(415,152)"	"(415,137)"	"(314,137)"	"(321,132)"	"(331,132)"	"(340,133)"	"(349,137)"	"(374,136)"	"(382,131)"	"(391,127)"	"(400,126)"	"(408,130)"	"(363,148)"	"(363,158)"	"(364,168)"	"(365,178)"	"(355,184)"	"(360,185)"	"(365,186)"	"(370,184)"	"(375,183)"	"(326,149)"	"(333,146)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(378,149)"	"(384,143)"	"(392,141)"	"(399,144)"	"(394,149)"	"(386,150)"	"(345,201)"	"(354,198)"	"(360,197)"	"(366,198)"	"(372,196)"	"(378,197)"	"(387,198)"	"(379,205)"	"(373,208)"	"(367,209)"	"(361,208)"	"(354,206)"	"(348,201)"	"(360,201)"	"(366,201)"	"(372,200)"	"(384,199)"	"(372,200)"	"(366,201)"	"(361,201)"
0009	"(303,144)"	"(306,159)"	"(310,175)"	"(314,189)"	"(320,203)"	"(329,214)"	"(340,223)"	"(354,230)"	"(368,231)"	"(381,227)"	"(392,219)"	"(401,208)"	"(407,195)"	"(410,180)"	"(412,166)"	"(414,151)"	"(415,136)"	"(314,137)"	"(321,132)"	"(331,132)"	"(340,133)"	"(349,137)"	"(374,135)"	"(383,130)"	"(391,127)"	"(400,126)"	"(408,130)"	"(363,147)"	"(364,157)"	"(365,168)"	"(366,178)"	"(355,184)"	"(361,185)"	"(366,186)"	"(371,184)"	"(375,183)"	"(325,149)"	"(332,146)"	"(341,146)"	"(348,151)"	"(340,153)"	"(332,153)"	"(377,149)"	"(384,143)"	"(392,141)"	"(399,144)"	"(394,149)"	"(385,150)"	"(345,201)"	"(354,198)"	"(361,197)"	"(366,198)"	"(372,196)"	"(379,197)"	"(387,198)"	"(380,205)"	"(374,208)"	"(367,208)"	"(361,208)"	"(354,206)"	"(348,201)"	"(361,201)"	"(367,201)"	"(373,200)"	"(384,199)"	"(373,200)"	"(367,201)"	"(361,201)"
