(50.6926,-72.2903,747.3394)	(2.1573,-109.7805,762.1597)	(29.4797,-106.3261,757.1072)	(65.2831,-109.0067,757.9590)	(93.0347,-116.9434,766.7914)	(52.3410,-48.5911,762.5785)
(49.5954,-72.3013,747.3818)	(2.1610,-109.7805,762.1597)	(29.3476,-106.3261,757.1072)	(65.2831,-109.0067,757.9590)	(94.3720,-116.6741,766.8040)	(52.3447,-48.7192,764.5688)
(50.8980,-73.5987,747.3470)	(2.0982,-109.4846,762.1439)	(29.3439,-106.3261,757.1072)	(66.6011,-109.0067,757.9576)	(94.3720,-118.0221,766.7743)	(52.3447,-48.5911,762.5739)
(49.3971,-72.0996,747.3207)	(2.0871,-109.4846,760.1862)	(29.4797,-106.3261,757.1072)	(66.6011,-109.0067,757.9576)	(94.6816,-116.9434,766.8508)	(52.3410,-48.5911,762.5864)
(49.5954,-72.2903,747.3317)	(0.8362,-109.7842,762.1767)	(29.4833,-106.3261,757.1072)	(66.6011,-109.0067,757.9576)	(94.0736,-117.9594,764.8124)	(52.3447,-48.5948,762.5785)
(49.5954,-72.2976,747.3651)	(2.0908,-109.4846,762.1439)	(29.3439,-106.3261,757.1072)	(65.2868,-109.2983,759.9495)	(94.3683,-116.9396,766.7868)	(52.3447,-48.5948,762.5831)
(49.5954,-72.2903,747.3317)	(2.0945,-109.4846,760.1862)	(29.3439,-106.3261,757.1072)	(66.6011,-109.0067,757.9576)	(92.7360,-116.6346,764.8296)	(52.3447,-48.7155,764.5583)
(49.5954,-72.2976,747.3805)	(2.0908,-109.4846,760.1816)	(29.3476,-106.3261,757.1072)	(66.6011,-109.0067,757.9576)	(92.7360,-116.6346,764.8171)	(52.5315,-48.7267,764.5721)
(49.5954,-72.2976,747.3651)	(2.1573,-109.7805,762.1597)	(29.4797,-106.3261,757.1072)	(66.6011,-109.0067,757.9576)	(94.3758,-116.9396,766.8165)	(52.3410,-48.5911,764.5287)
(50.8943,-72.2976,747.3593)	(0.8362,-109.7842,764.1534)	(29.3439,-106.3261,755.1103)	(65.2831,-109.0067,757.9576)	(94.6742,-116.9434,766.8165)	(52.5315,-48.5911,764.5596)
