(30.4360,-124.3937,746.2646)	(58.6925,-125.2725,744.1025)	(47.4418,-85.8211,749.3168)	(48.6636,-63.5439,746.4139)	(-0.2409,-110.8542,757.4808)	(27.1834,-107.4170,752.3475)	(62.7173,-110.2234,754.1376)	(91.3773,-117.9524,763.9568)	(25.2347,-46.8240,771.6094)	(51.1165,-50.2103,761.4546)	(76.4525,-48.4499,773.3317)	(51.7745,-36.0089,766.5070)
(30.4322,-124.3898,746.2609)	(58.9051,-124.3158,744.1059)	(47.4418,-85.8250,749.3222)	(48.6636,-63.5439,747.3843)	(-0.2409,-110.8542,757.4808)	(27.0497,-107.1297,752.3456)	(62.7173,-110.2194,754.1376)	(92.7066,-117.9484,763.9549)	(25.2347,-46.8240,771.6110)	(51.1204,-50.3372,761.4603)	(76.4565,-48.4499,775.2909)	(51.7745,-36.0089,766.5070)
(30.2879,-124.0658,744.2880)	(58.9090,-124.3158,746.0946)	(47.4457,-87.1296,749.3240)	(48.3812,-63.4575,746.4102)	(-0.2409,-110.8542,757.4808)	(27.0497,-107.1297,752.3438)	(64.0306,-110.2194,754.1322)	(92.7145,-119.2711,763.9440)	(25.3489,-46.9486,771.6129)	(51.1125,-50.2103,761.4546)	(76.4565,-49.7932,773.3206)	(51.5832,-36.0049,768.4833)
(29.0010,-124.0658,746.2718)	(59.9833,-125.2686,744.0919)	(46.1424,-85.6011,747.3457)	(48.4676,-63.4575,746.3977)	(-0.2409,-110.5599,757.4808)	(27.1834,-107.4170,752.3475)	(64.0306,-110.2194,756.1133)	(92.7145,-117.9524,763.9750)	(25.2347,-46.8240,769.6141)	(51.1204,-50.2103,761.4565)	(78.0585,-49.7932,775.2909)	(51.7745,-36.0089,766.5070)
(28.9971,-124.0658,744.2773)	(58.6887,-123.9804,744.1149)	(46.3357,-87.1375,751.2989)	(47.1716,-63.4575,746.3924)	(-1.5038,-110.8582,757.4881)	(27.1834,-107.4170,752.3475)	(64.0306,-110.2194,754.1303)	(92.7026,-119.2711,763.9258)	(25.3489,-46.9486,771.6129)	(51.1204,-50.2103,761.4584)	(76.4565,-48.4458,773.3317)	(50.5362,-36.0129,768.4907)
(30.2879,-124.0619,744.2702)	(58.9128,-124.3158,746.0980)	(46.3318,-85.8328,749.3384)	(47.1716,-63.4575,746.4120)	(-0.2409,-110.5599,757.4808)	(27.0458,-107.1297,752.3419)	(62.7173,-110.2273,754.1520)	(92.7106,-117.9484,763.9549)	(25.3489,-46.9486,771.6129)	(51.1125,-50.2063,761.4492)	(77.8014,-49.7932,775.2779)	(50.5362,-36.0129,768.4962)
(28.9971,-124.0658,744.2773)	(58.9128,-124.3158,746.0946)	(47.6346,-85.8328,749.3384)	(48.4676,-63.4575,746.4048)	(-0.2409,-110.5599,757.4808)	(27.0497,-107.1297,752.3438)	(64.0306,-110.2155,754.1303)	(91.2374,-117.7969,763.9312)	(25.3489,-46.9486,769.6179)	(51.1204,-50.2103,761.4603)	(76.4525,-48.4458,773.3262)	(50.5362,-36.0129,768.4962)
(28.9971,-124.0658,744.2880)	(60.2032,-124.3120,746.0891)	(46.1424,-85.6050,749.3115)	(48.4715,-63.5439,746.4139)	(-0.2449,-110.5599,757.4808)	(27.0497,-107.1297,752.3438)	(64.0306,-110.2194,754.1303)	(91.2295,-117.7969,762.9709)	(25.3489,-46.9486,771.6129)	(51.1244,-50.2103,761.4603)	(76.4565,-48.4458,773.3262)	(51.5832,-36.0049,768.4833)
(29.1380,-124.0658,746.2718)	(58.9128,-124.3158,746.0980)	(46.1424,-85.6011,747.3404)	(47.1716,-63.4575,746.4139)	(-0.2409,-110.8542,757.4808)	(27.1834,-107.4170,752.3456)	(64.0306,-110.2194,754.1303)	(92.7145,-117.9524,763.9695)	(25.2347,-46.8240,771.6110)	(51.1204,-50.2142,761.4600)	(78.0625,-49.7932,775.2928)	(51.7745,-36.0089,766.5070)
(29.1418,-124.4015,746.2753)	(58.9167,-125.6114,746.0909)	(47.6346,-85.8328,749.3384)	(48.4676,-63.4575,746.4102)	(-1.4462,-110.8582,759.4866)	(27.0497,-107.1297,752.3419)	(62.7173,-110.2194,754.1520)	(92.7145,-117.9524,765.9283)	(25.3529,-46.9486,771.6129)	(51.1204,-50.2103,761.4565)	(78.0625,-49.9203,775.3038)	(51.5871,-37.3385,766.4960)
(29.1418,-124.4015,746.2753)	(58.9128,-124.3158,746.0875)	(47.6346,-85.8250,749.3259)	(48.4676,-63.4575,746.4102)	(-0.2409,-110.8542,757.4808)	(27.0497,-107.1297,752.3438)	(62.7173,-110.2234,756.1205)	(92.7145,-117.9524,763.9750)	(25.3529,-46.9486,771.6129)	(51.1125,-50.2103,761.4546)	(76.4565,-48.4499,775.2909)	(50.5362,-36.0129,768.4981)
(30.4360,-124.3937,746.2646)	(58.6887,-125.2686,744.1077)	(47.4418,-85.8172,749.3115)	(48.6636,-63.5439,746.4173)	(-0.2409,-110.8542,757.4808)	(27.0497,-107.4170,752.3438)	(62.7173,-110.2234,754.1376)	(91.3773,-117.9484,763.9495)	(25.2347,-46.8240,769.6141)	(51.1165,-50.2103,761.4565)	(76.4485,-49.7932,773.3003)	(51.7745,-37.2462,766.4922)
(28.9971,-124.0658,744.2773)	(58.9090,-124.3158,746.0856)	(46.3318,-85.8289,749.3365)	(48.3812,-63.4575,746.4139)	(-0.2488,-110.5599,757.4789)	(27.1834,-107.4170,752.3456)	(62.7173,-110.2234,754.1448)	(92.7066,-119.2711,763.9312)	(25.3489,-46.9486,771.6129)	(51.1165,-50.2103,761.4565)	(77.8014,-49.7932,775.2779)	(51.7745,-36.0049,768.4833)
(29.0010,-125.3579,744.2720)	(58.9167,-125.6114,746.0928)	(46.3318,-85.8328,749.3384)	(47.0792,-63.4575,744.4280)	(-0.2409,-110.8542,757.4808)	(27.0497,-107.4170,752.3438)	(64.0306,-110.2194,754.1322)	(92.7106,-117.9524,763.9622)	(25.3489,-46.9486,771.6129)	(51.1125,-50.0833,759.4727)	(78.0545,-49.7932,775.2834)	(51.7785,-36.0089,768.4888)
(29.0010,-124.3976,746.2681)	(58.6964,-124.3158,744.1077)	(46.3318,-85.8367,749.3456)	(48.4676,-63.4575,746.4120)	(-0.2449,-110.8542,757.4808)	(27.0497,-107.1297,752.3419)	(64.0306,-110.2234,754.1448)	(92.5649,-119.1218,763.9185)	(25.3489,-46.9486,771.6129)	(51.1165,-50.2103,761.4546)	(76.4525,-49.7317,773.3132)	(51.7745,-37.3385,766.4960)
(30.2879,-124.0619,744.2702)	(59.9794,-124.3003,746.0784)	(47.6346,-85.8328,749.3384)	(48.3735,-63.4575,746.3905)	(-0.2449,-110.5599,757.4808)	(27.1834,-107.4170,752.3438)	(62.7173,-110.2234,754.1303)	(91.2374,-117.7969,762.9837)	(26.5686,-46.8200,769.6068)	(51.1204,-50.2103,761.4584)	(76.4565,-48.4499,773.3317)	(50.5362,-36.0129,768.4907)
(29.0010,-125.3579,744.2720)	(58.6964,-125.2725,744.1006)	(46.1424,-85.8289,749.3294)	(48.4676,-63.4575,746.4120)	(-0.2449,-110.5599,757.4808)	(27.1834,-107.1297,752.3456)	(62.7173,-110.2234,754.1376)	(91.2374,-119.1218,763.9258)	(25.3489,-46.9486,771.6129)	(51.3119,-50.3451,763.4510)	(78.0545,-49.7932,775.2779)	(51.5832,-36.0049,766.5143)
(28.9971,-124.0658,744.2808)	(58.9051,-124.3158,746.0909)	(47.6346,-85.8328,749.3331)	(48.4676,-63.4575,746.4102)	(-0.2449,-110.5599,757.4808)	(27.1834,-107.4170,752.3456)	(62.7173,-110.2194,754.1376)	(92.7145,-117.9524,763.9695)	(26.5686,-46.8200,769.6068)	(51.1283,-50.3372,761.4657)	(78.0545,-48.5695,775.3093)	(51.7745,-36.0049,768.4962)
(29.1418,-124.4015,746.2753)	(58.6964,-125.2570,744.1006)	(46.1424,-85.8328,749.3259)	(48.3735,-63.4575,746.3924)	(-0.2449,-110.5599,757.4808)	(27.0458,-107.1297,752.3419)	(64.0306,-110.2194,754.1303)	(91.2374,-119.1218,762.9783)	(25.3489,-46.9486,771.6129)	(51.3119,-50.3372,763.4402)	(75.1077,-49.7317,773.3077)	(51.7785,-36.0049,768.4926)
(29.0049,-124.3937,746.2718)	(58.6925,-125.2570,744.1006)	(46.1424,-85.8289,749.3259)	(48.3735,-63.4575,746.4102)	(-0.2409,-110.8542,757.4808)	(27.1834,-107.4170,752.3456)	(62.7173,-110.2194,754.1376)	(92.7106,-117.9524,763.9568)	(26.5686,-46.8200,769.6068)	(51.1204,-50.2103,761.4529)	(76.4565,-49.7932,773.3187)	(51.7745,-36.0089,766.5143)
(28.9971,-124.0658,744.2773)	(58.9128,-124.3158,746.0980)	(47.6346,-85.8328,749.3365)	(48.6636,-63.5439,747.3896)	(-0.2409,-110.8542,757.4808)	(27.0497,-107.1297,752.3438)	(62.6019,-110.2155,754.1376)	(92.7066,-117.9444,763.9495)	(26.5646,-46.8200,769.6068)	(52.4406,-50.2063,761.4492)	(76.4525,-49.7317,773.3151)	(51.7785,-36.0089,768.4833)
