(-98.4076,68.2605,626.7677)	(-157.6240,61.2480,646.0706)	(-131.0960,54.6139,646.9021)	(-96.3586,42.0120,658.6468)	(-73.5298,34.8312,670.5130)	(-88.8270,96.5286,626.8218)	
(-96.1272,68.1604,625.7606)	(-155.3880,61.1689,646.0582)	(-128.8532,54.7029,647.8863)	(-96.3655,44.2952,658.6608)	(-71.5998,34.7319,673.4924)	(-86.7480,95.7520,626.8263)	
(-96.2373,68.2670,626.7617)	(-155.3880,61.1622,646.0582)	(-128.8532,54.7029,647.8831)	(-96.3586,42.0120,657.6694)	(-73.5298,34.7319,670.5017)	(-86.7512,95.7520,626.8323)	
(-96.2373,68.2670,626.7542)	(-155.3880,61.1723,646.0582)	(-128.8532,54.7029,647.8880)	(-96.3655,44.2952,658.6530)	(-71.3985,34.8347,673.4924)	(-86.7512,95.7520,626.8323)	
(-96.3507,68.3737,627.7672)	(-155.5895,61.2513,646.0582)	(-128.8532,54.7029,647.8831)	(-96.3655,44.2952,658.6577)	(-71.4632,34.9376,674.4883)	(-86.7512,95.7520,626.8323)	
(-96.4640,68.4803,627.7628)	(-155.3880,61.2513,646.0582)	(-128.8532,54.7029,647.8831)	(-94.0846,44.4323,658.6544)	(-71.3950,34.8879,674.4866)	(-86.8459,95.9020,627.8214)	
(-96.2438,70.4395,626.7690)	(-155.5962,63.5064,647.0690)	(-127.9000,55.9095,648.8860)	(-96.5816,44.4254,658.6750)	(-71.4668,34.8844,674.4930)	(-86.7545,97.9314,626.8292)	
(-96.3572,70.5496,628.7576)	(-155.7976,63.5923,648.0705)	(-129.0165,57.0270,648.8968)	(-96.5884,46.7155,658.6890)	(-71.4703,36.2664,673.5036)	(-86.8557,98.0848,627.8408)	
(-96.2470,70.4395,626.7795)	(-155.9991,63.5991,648.0721)	(-129.0131,57.0236,648.8922)	(-96.6965,46.7841,660.6846)	(-71.6068,36.3692,674.5074)	(-86.8589,98.0848,628.8360)	
(-96.3572,70.5496,627.7702)	(-155.9991,63.6951,649.0720)	(-129.3364,57.1985,650.8932)	(-95.5440,45.6374,661.6540)	(-71.6104,36.3692,674.5091)	(-86.8589,98.0848,628.8360)	
(-96.3572,70.5496,627.7761)	(-155.9991,63.6951,649.0720)	(-130.4697,56.0708,650.8994)	(-96.5816,44.4906,660.6689)	(-71.6139,36.3692,674.5091)	(-86.8557,98.0848,627.8468)	
(-96.6908,68.6936,630.7585)	(-155.9924,61.4499,649.0628)	(-129.5031,57.1985,650.9040)	(-96.7943,44.5557,661.6714)	(-71.6680,34.0579,675.4954)	(-86.9504,96.0519,629.8404)	
(-96.5774,68.5869,629.7514)	(-156.3953,60.5004,651.0658)	(-130.1296,56.0708,650.8947)	(-95.6504,45.7042,662.6596)	(-71.6680,34.0579,675.4986)	(-86.9504,96.0519,629.8343)	
(-96.5742,66.4041,629.7544)	(-156.3886,58.3255,651.0566)	(-130.6146,53.8958,651.8884)	(-95.6435,43.4072,662.6455)	(-72.6382,32.8766,675.4889)	(-86.9406,93.8656,629.8254)	
(-94.3837,64.2245,629.7198)	(-155.2519,57.1240,651.0412)	(-128.3511,51.6436,651.8571)	(-95.6367,41.1102,662.6250)	(-70.4108,30.5209,678.4681)	(-86.8329,93.7191,629.7954)	
(-94.3772,62.0417,629.7168)	(-155.2418,54.8685,651.0319)	(-128.1862,49.3111,650.8545)	(-92.0935,38.7636,661.6068)	(-70.0712,28.0009,674.4626)	(-86.7349,91.3900,628.8124)	
(-94.1575,61.8524,627.7224)	(-155.2452,54.9472,651.0319)	(-128.1862,49.3111,650.8576)	(-92.1946,38.7636,661.6132)	(-70.0081,27.9223,674.4401)	(-86.6403,91.3867,628.7914)	
(-94.0443,59.5902,626.7274)	(-154.1118,53.7475,651.0164)	(-126.0810,47.1325,651.8169)	(-92.0866,36.4701,660.6234)	(-69.9381,26.6726,673.4444)	(-84.6359,87.1772,629.7610)	
(-91.9707,57.5071,626.7021)	(-154.1051,51.4818,651.0072)	(-125.9195,44.8069,650.8298)	(-89.7885,34.1834,660.6076)	(-67.6650,23.2454,673.4300)	(-84.5480,87.0411,628.7780)	
(-91.0834,55.3279,625.6846)	(-153.6991,49.0929,648.9934)	(-125.6034,42.4248,648.8120)	(-90.6258,32.8931,658.5840)	(-65.3183,20.9104,674.3855)	(-82.3610,84.8682,628.7344)	
(-88.4915,52.7463,621.6614)	(-149.3625,45.3783,643.9604)	(-122.5941,39.8839,643.7819)	(-88.9937,30.3400,653.5507)	(-64.9436,18.4154,666.3866)	(-81.0014,83.3890,623.7336)	
(-85.9337,52.5911,619.6343)	(-148.5849,44.0062,640.9455)	(-122.1337,39.7045,640.7786)	(-86.4375,26.8849,650.5298)	(-64.5896,17.0849,662.3752)	(-79.5583,81.7910,621.7048)	
(-85.7318,50.2814,617.6474)	(-145.9846,41.6625,637.9217)	(-118.3643,35.1106,637.7463)	(-85.1193,25.6822,648.5037)	(-61.1442,14.7745,658.3624)	(-79.4772,79.5133,620.7216)	
(-85.3409,49.9654,613.6334)	(-145.6060,41.5427,635.9220)	(-117.2634,33.9608,636.7302)	(-83.7174,22.2191,645.4864)	(-58.7815,12.4372,658.3248)	(-77.0755,79.2618,618.6767)	
(-83.8876,48.6744,611.6010)	(-144.1302,39.2662,633.9058)	(-114.6260,31.6171,633.7120)	(-83.3480,19.8654,640.5046)	(-58.5236,10.1138,653.3089)	(-75.8221,75.6926,614.6904)	
(-85.6050,46.2523,607.5990)	(-143.1860,36.6822,627.8890)	(-117.0369,31.3686,627.7344)	(-80.6832,17.5206,635.4726)	(-59.1837,8.8839,647.3067)	(-74.5110,73.2068,611.6626)	
(-85.8542,46.8524,599.6063)	(-144.2173,36.3350,621.8946)	(-118.1677,31.0280,621.7176)	(-82.1626,18.3971,628.4682)	(-59.9116,5.4708,639.3040)	(-77.1825,75.6496,606.6578)	
(-91.5304,47.3328,594.6518)	(-146.4648,33.9655,617.8968)	(-119.2374,28.6009,615.7160)	(-84.8469,14.9679,621.4831)	(-59.5955,5.4383,634.2962)	(-80.8320,74.9002,600.6851)	
(-94.4940,46.1447,591.6586)	(-151.1557,36.1437,618.9308)	(-122.4434,30.6748,614.7458)	(-88.9543,16.0056,620.4928)	(-65.9240,6.4760,630.3189)	(-85.7353,74.5210,597.7249)	
(-100.2845,44.9482,590.6918)	(-156.0815,33.9861,618.9456)	(-128.8235,28.5342,614.7724)	(-92.1786,13.8410,620.5034)	(-70.2792,2.0902,630.3507)	(-88.7246,72.1989,595.7386)	
(-106.2694,40.7671,589.7065)	(-160.8035,35.1000,619.9767)	(-133.0748,26.3841,614.7872)	(-98.6209,11.6699,620.5406)	(-75.7362,-1.2103,630.3540)	(-95.7144,68.0529,595.7388)	
(-108.4374,36.7319,590.6880)	(-165.0893,32.9453,620.9856)	(-137.3197,22.1367,615.7871)	(-102.9039,6.2777,620.5336)	(-78.9993,-5.5805,629.3538)	(-95.8114,64.9489,595.7219)	
(-108.5783,34.7404,591.7004)	(-162.9368,30.8035,619.9710)	(-137.8665,22.2107,617.7910)	(-103.0227,4.1260,620.5291)	(-79.1570,-7.7744,629.3554)	(-95.9269,60.9244,596.7259)	
(-108.7161,34.7937,592.7016)	(-162.9304,28.6424,619.9622)	(-135.3633,20.0152,615.7755)	(-101.8163,4.1325,620.5260)	(-77.1264,-8.9092,630.3438)	(-96.0454,61.0240,597.7384)	
(-106.6634,34.8531,593.6642)	(-163.1589,30.8381,620.9724)	(-135.3633,20.0152,615.7696)	(-101.6929,4.1279,619.5284)	(-77.0446,-6.6999,629.3448)	(-96.0454,63.0900,597.7170)	
(-106.9351,34.9157,594.6709)	(-162.7084,28.6080,619.9593)	(-135.3633,20.0152,615.7710)	(-101.6993,6.2809,620.5201)	(-76.8087,-6.6747,628.3518)	(-96.1609,63.1900,598.7124)	
(-107.0787,34.9721,595.6834)	(-163.3809,30.8921,621.9724)	(-135.7273,22.1560,617.7747)	(-101.8227,6.2842,620.5439)	(-77.0446,-6.6999,629.3478)	(-94.0935,65.2781,598.7222)	
(-105.0186,37.0498,595.6789)	(-161.2279,30.9050,621.9620)	(-133.5881,22.2236,617.7716)	(-99.7932,6.2986,621.5252)	(-75.7231,-5.5967,630.3346)	(-92.2371,63.4151,600.6958)	
(-97.7945,37.0653,595.6290)	(-154.3460,28.6714,619.9146)	(-127.1642,20.1016,617.7170)	(-93.4502,8.4848,622.4946)	(-70.4677,-6.6927,633.3010)	(-86.0051,65.5132,600.6756)	
(-91.7196,37.1438,596.6128)	(-150.0538,28.6908,620.8892)	(-122.8922,21.1883,617.7155)	(-87.2786,7.4576,625.4562)	(-64.0743,-4.5035,636.2745)	(-82.9836,65.6324,601.6792)	
(-89.9771,37.3330,599.5924)	(-148.3034,26.6303,621.8772)	(-119.8299,20.1545,618.6826)	(-86.1952,8.5421,625.4651)	(-61.8151,-4.4878,635.2665)	(-78.9942,65.8584,603.6480)	
