(-21.1671,-56.8670,596.8278)	(4.6588,-56.6922,595.6838)	(-10.9438,-15.4241,597.9286)	(-11.1922,-1.8780,588.9894)	(-54.0673,-38.3087,613.0850)	(-29.6096,-35.9252,609.9590)	(9.4582,-36.7382,607.7392)	(36.1609,-38.9694,611.5902)	(-38.2191,29.5872,608.2740)	(-12.0438,22.9808,598.1102)	(12.2459,29.5963,606.0028)	(-12.1243,42.6897,597.1923)	
(-21.1674,-56.8670,596.8264)	(4.6588,-56.6922,595.6838)	(-10.9438,-15.4241,597.9286)	(-11.1922,-1.8780,588.9894)	(-54.0673,-38.3087,613.0878)	(-29.6096,-35.9252,609.9590)	(9.4582,-36.7382,607.7376)	(36.2542,-38.9662,611.5741)	(-38.2191,29.5872,608.2740)	(-14.1208,22.9777,598.1160)	(14.4150,29.6990,606.9724)	(-12.1458,42.6300,597.1824)	
(-21.1674,-56.8670,596.8264)	(4.6588,-56.6922,595.6838)	(-10.9438,-15.4241,597.9286)	(-11.1922,-1.8757,588.0107)	(-54.0673,-38.3087,613.0850)	(-29.6096,-35.9252,609.9590)	(9.4080,-36.7382,607.7376)	(36.1609,-38.9662,611.5741)	(-35.0500,31.6633,607.2649)	(-14.1208,22.9777,598.1160)	(14.4087,31.8057,606.9853)	(-12.1243,42.6897,597.1908)	
(-21.1671,-56.8670,596.8278)	(4.6588,-56.6922,595.6867)	(-10.9172,-15.4209,597.9428)	(-11.1922,-1.8780,588.9894)	(-54.0673,-38.3087,613.0850)	(-29.6033,-38.0423,609.9472)	(12.5085,-37.7229,606.7164)	(36.1577,-37.9123,611.5654)	(-35.0500,31.6602,607.2649)	(-12.0716,25.0470,597.1130)	(14.4150,29.6990,606.9810)	(-12.1243,42.6269,597.1766)	
(-21.1674,-56.8670,596.8264)	(4.6092,-56.6860,594.7044)	(-10.9438,-15.4241,597.9344)	(-11.1391,-3.9344,589.9964)	(-54.1145,-38.3731,613.0865)	(-29.6096,-35.9252,609.9590)	(9.4080,-36.7382,607.7376)	(36.1609,-38.9694,611.5858)	(-38.2407,29.5903,609.2700)	(-14.1452,25.0439,598.1102)	(14.4087,31.8057,606.9868)	(-14.1978,42.6269,597.2024)	
(-21.1671,-56.8670,596.8294)	(4.6588,-56.6922,595.6865)	(-10.9438,-15.4241,597.9329)	(-11.1626,-3.9313,589.9809)	(-54.0673,-38.3087,613.0850)	(-29.5958,-37.9780,608.9520)	(11.5129,-36.6695,607.7245)	(36.1609,-38.9726,611.5858)	(-36.1110,29.5534,608.2580)	(-12.0655,22.9777,598.0988)	(14.4150,29.6990,606.9724)	(-12.1458,42.6269,597.1838)	
(-21.1733,-54.7949,596.8348)	(2.5922,-56.6985,595.6980)	(-10.9438,-15.3962,596.9504)	(-11.1922,-1.8757,588.0148)	(-54.0201,-38.2443,613.0822)	(-29.6096,-35.9252,609.9605)	(9.4017,-36.6758,606.7440)	(36.1577,-38.9662,611.5858)	(-37.1745,31.7005,608.2768)	(-12.0716,25.0137,597.1159)	(14.3440,31.7557,605.9999)	(-12.1243,42.6897,597.1966)	
(-21.1674,-56.8670,596.8264)	(4.6588,-56.7830,595.7036)	(-10.9438,-15.4241,597.9502)	(-11.1687,-1.8811,588.9951)	(-54.0673,-38.3087,613.0850)	(-29.6096,-35.9252,609.9605)	(9.4080,-36.7382,607.7376)	(36.1609,-38.9694,611.5858)	(-37.1745,31.6973,608.2768)	(-12.0716,25.0137,597.1144)	(14.4087,31.8057,606.9868)	(-12.1243,42.6269,597.1851)	
(-19.1035,-54.7887,596.8234)	(2.6261,-54.7233,596.6974)	(-10.9438,-15.4209,597.9244)	(-11.1922,-1.8780,588.9894)	(-54.0673,-38.3087,613.0850)	(-29.6096,-35.9252,609.9590)	(9.4080,-35.6831,607.7260)	(36.1609,-37.9667,611.5595)	(-33.9830,29.5471,606.2588)	(-12.0438,22.9808,598.0988)	(14.4087,31.8057,606.9998)	(-12.1458,42.6269,597.1752)	
(-21.1674,-56.8670,596.8264)	(4.6496,-54.7233,596.6802)	(-10.9203,-15.4241,597.9428)	(-11.1922,-1.8757,588.0148)	(-54.0673,-38.3087,613.0850)	(-29.6033,-38.0423,609.9472)	(9.4582,-36.7382,607.7436)	(36.1609,-38.9694,611.5843)	(-36.0929,29.5471,607.2621)	(-12.0655,22.9777,598.0974)	(14.3502,29.6524,605.9870)	(-12.1458,42.6269,597.1851)	
