(-31.6543,-41.9268,604.9485)	(-9.7330,-41.4988,599.8301)	(-23.3931,-1.9778,600.0528)	(-24.4761,9.3538,591.1205)	(-63.1727,-20.5659,622.2096)	(-38.2729,-18.1754,617.0796)	(0.9742,-19.9546,608.8562)	(26.4744,-19.9097,610.7074)	(-46.6789,47.4164,607.3980)	(-24.5625,39.2901,594.2432)	(4.4976,46.9699,599.0963)	(-24.6162,56.6319,592.3283)	
(-31.6543,-41.9268,604.9500)	(-9.7268,-41.5762,600.8226)	(-23.3904,-1.9833,601.0526)	(-24.4761,9.3507,591.1092)	(-63.1727,-20.5659,622.2080)	(-38.2729,-18.1754,617.0796)	(0.9647,-19.9199,608.8531)	(26.3935,-19.9065,610.7015)	(-44.5422,47.3501,606.3858)	(-23.5239,36.2622,594.2333)	(4.4546,46.8939,598.1234)	(-24.6162,56.6227,592.2930)	
(-33.7601,-43.0497,605.9528)	(-7.6718,-41.4988,599.8186)	(-23.3904,-1.9833,601.0526)	(-24.4770,9.3433,590.1302)	(-63.1727,-20.5659,622.2080)	(-38.2729,-18.1754,617.0796)	(0.9647,-19.9230,608.8546)	(26.3967,-21.9986,609.7052)	(-48.8131,47.4227,608.4059)	(-24.5625,39.2839,594.2375)	(4.4484,46.8939,598.1120)	(-24.6155,56.6319,592.3241)	
(-32.7064,-41.9268,605.9368)	(-9.7268,-41.5019,600.8211)	(-23.3904,-1.9833,601.0526)	(-24.4770,9.3433,590.1302)	(-63.1727,-20.5659,622.2080)	(-38.2729,-18.1754,617.0796)	(0.9710,-19.9262,608.8531)	(26.3998,-21.9954,609.7052)	(-46.6789,47.4227,607.3980)	(-24.5633,39.2295,593.2514)	(4.4453,46.8939,598.0977)	(-24.6162,56.6257,592.3156)	
(-32.7064,-41.9268,604.9659)	(-7.6718,-41.4988,599.8144)	(-23.3904,-1.9833,601.0570)	(-24.4770,9.3402,590.1246)	(-63.1116,-20.5309,621.2107)	(-38.2729,-18.1754,617.0796)	(0.9615,-19.9199,608.8473)	(26.3967,-21.9922,609.6950)	(-44.5422,47.2744,605.3853)	(-23.5295,39.2870,594.2234)	(4.4484,46.8939,598.1092)	(-24.6155,56.6288,592.3142)	
(-33.7521,-42.9767,605.9426)	(-7.6491,-41.5668,600.8110)	(-23.3876,-1.9887,602.0426)	(-24.4761,9.3507,591.1034)	(-63.2403,-18.4389,623.2172)	(-38.2729,-18.1754,617.0796)	(0.9647,-19.9230,608.8562)	(26.4712,-19.9065,610.7030)	(-46.6340,47.2744,606.3932)	(-23.5295,39.2870,594.2304)	(4.4422,46.8939,598.0877)	(-24.6162,56.6288,592.3128)	
(-31.6512,-41.9268,604.9457)	(-7.6429,-41.5699,600.8166)	(-23.3904,-1.9833,601.0728)	(-24.4761,9.3538,591.1092)	(-63.2338,-20.6009,623.2083)	(-38.2238,-20.2469,615.0708)	(2.0236,-18.8960,608.8414)	(26.3935,-21.9890,609.6934)	(-44.5422,47.2744,605.3853)	(-23.5265,39.2325,593.2400)	(4.4484,46.8939,598.0962)	(-22.5634,56.6288,592.2873)	
(-29.5535,-41.9205,604.9341)	(-5.5913,-39.4100,599.8186)	(-21.3127,-1.9716,600.0714)	(-22.4312,9.3494,590.1189)	(-60.9522,-22.6796,621.1870)	(-36.0915,-20.2405,615.0590)	(4.1383,-18.8897,608.8312)	(28.5897,-19.9065,610.7015)	(-44.5743,47.3501,606.3858)	(-21.4789,38.2716,593.2244)	(4.4453,46.8939,598.0977)	(-22.5676,56.5449,592.2774)	
(-29.5535,-41.9205,604.9369)	(-5.5913,-41.4926,600.7822)	(-21.3065,-1.9770,601.0412)	(-21.3898,9.3464,589.1118)	(-60.9522,-22.6796,621.1870)	(-36.0915,-20.2405,615.0590)	(4.1797,-18.9163,609.8250)	(28.5865,-19.9001,610.6913)	(-44.5743,47.4227,606.3858)	(-21.4729,38.3306,594.2190)	(4.4484,46.8939,598.0977)	(-22.5676,56.5388,591.3024)	
(-27.4495,-41.7718,602.9257)	(-5.5913,-41.4926,599.8114)	(-21.3065,-1.9770,600.0714)	(-21.4021,8.3461,591.0822)	(-60.9522,-22.6796,621.1870)	(-36.0915,-20.2405,615.0590)	(4.1383,-18.8897,608.8312)	(30.7081,-19.8938,610.6780)	(-42.3552,47.1261,603.3727)	(-21.4729,38.2685,593.2244)	(4.4453,46.8939,598.1020)	(-22.5676,56.5418,591.3052)	
(-27.4526,-41.9142,604.9182)	(-3.5109,-41.4832,599.7898)	(-19.2323,-1.9653,600.0340)	(-21.3837,9.3600,591.0822)	(-58.7386,-22.5961,620.1706)	(-36.0915,-20.2405,615.0575)	(4.1383,-18.8897,608.8312)	(30.7113,-19.8970,610.6898)	(-44.5743,47.4227,607.3836)	(-21.4729,38.2716,594.2132)	(4.4484,46.8939,598.1062)	(-20.5182,56.5480,591.2938)	
(-29.5535,-41.9205,604.9341)	(-5.6205,-41.4215,598.8075)	(-21.3127,-1.9716,600.0512)	(-21.3960,9.3464,590.0920)	(-60.9522,-22.6796,621.1870)	(-36.0736,-20.2373,615.0560)	(4.1766,-18.8897,608.8328)	(28.5865,-19.9001,610.6898)	(-44.5743,47.4259,607.3864)	(-21.4729,38.2716,593.2300)	(4.4054,46.8179,597.1092)	(-20.5182,56.5418,591.2870)	
(-27.4510,-41.9142,602.9314)	(-5.5975,-39.4100,599.8114)	(-19.2323,-1.9653,600.0456)	(-21.3898,9.3525,591.0780)	(-60.9522,-22.6796,621.1870)	(-36.0736,-20.2056,615.0560)	(4.1797,-19.9482,609.8410)	(28.5865,-19.9065,610.6956)	(-46.6695,47.3501,607.3937)	(-21.4729,38.2716,594.2105)	(4.4484,46.8939,598.1020)	(-22.5676,56.5449,592.2774)	
(-29.5386,-41.7781,602.9360)	(-5.6007,-39.4100,599.8086)	(-19.2288,0.1152,601.0482)	(-21.3868,11.4315,592.1006)	(-60.9010,-20.4894,620.1958)	(-36.0557,-20.1706,613.0666)	(4.1383,-18.8897,608.8312)	(28.4990,-19.8656,609.6904)	(-42.4697,47.5080,607.3790)	(-21.4550,38.4577,596.2351)	(6.6240,47.0521,600.0864)	(-21.5252,55.8787,594.2838)	
(-25.3679,-37.3869,599.9436)	(-2.5206,-36.1427,598.8030)	(-15.0404,4.3078,603.0278)	(-15.1736,15.6735,597.0892)	(-58.7100,-16.1514,618.2039)	(-32.8549,-14.7866,612.0602)	(7.3333,-14.6135,608.8440)	(33.8794,-16.7065,610.6896)	(-37.3143,54.1990,612.3609)	(-16.2191,45.0425,602.2049)	(10.1334,52.8668,607.1036)	(-15.2834,63.5461,599.2852)	
(-22.2627,-33.0947,597.9180)	(3.6563,-33.0168,597.7760)	(-9.8542,8.5080,601.0390)	(-9.0624,21.8147,594.0944)	(-54.3296,-13.9410,617.1860)	(-28.6280,-11.5784,610.0470)	(11.5569,-11.4448,608.8105)	(35.9884,-13.5193,610.6661)	(-32.0412,62.7111,612.3750)	(-8.9681,51.3328,602.1944)	(16.5710,60.4466,609.0960)	(-7.9760,71.0699,601.2668)	
(-10.8974,-29.8981,596.8794)	(14.0085,-29.8753,597.7414)	(0.4853,13.7130,600.0001)	(-2.7780,24.9655,595.0416)	(-44.5540,-11.6894,612.1408)	(-22.2920,-9.4071,608.0208)	(20.0842,-9.3323,609.7938)	(42.4505,-9.3075,611.6653)	(-27.8083,64.9514,613.3607)	(-1.6420,55.4501,601.1925)	(22.0674,61.9199,612.0668)	(-1.6563,73.4162,603.2500)	
(-3.6165,-29.9283,597.8390)	(20.3045,-27.8326,598.7221)	(6.7266,13.7318,599.9570)	(4.1133,26.8245,590.0388)	(-42.3943,-12.6947,611.1247)	(-15.9348,-11.5097,610.9794)	(24.4853,-8.2937,612.7836)	(48.8062,-9.3872,620.6412)	(-23.5633,62.3427,608.3264)	(2.3958,55.2799,599.1676)	(26.4753,62.1299,615.0402)	(2.4373,73.1903,602.2064)	
(-8.7577,-32.0751,598.8330)	(18.3088,-31.0617,599.7088)	(2.5323,9.5405,598.9760)	(1.0597,21.7453,590.0178)	(-43.4535,-13.7614,611.1262)	(-19.0945,-10.5073,609.9842)	(22.2829,-9.3433,611.7694)	(47.5122,-12.6095,618.6266)	(-25.6568,57.9266,606.3200)	(0.2890,51.0326,598.1519)	(24.1217,59.7037,611.0610)	(0.2363,68.6752,598.2342)	
(-12.8977,-32.1431,598.8603)	(11.1440,-33.1602,599.7348)	(-2.6881,7.4285,596.9864)	(-1.1050,19.5855,588.0237)	(-47.8382,-13.8725,615.1502)	(-22.2676,-11.5949,611.0059)	(18.0454,-11.4801,611.7916)	(43.2168,-12.6192,618.6444)	(-28.7961,54.7590,605.3284)	(-3.9578,47.6799,595.1574)	(22.8397,56.1484,609.0292)	(-5.0114,65.3414,595.2351)	
(-14.9731,-39.3705,598.8734)	(9.9475,-40.3288,598.7270)	(-3.6770,2.2451,598.9691)	(-3.0911,15.5393,590.0096)	(-49.9577,-18.1477,615.1416)	(-23.3219,-15.8214,611.0120)	(15.8758,-16.7607,610.7864)	(40.6671,-18.9128,614.6576)	(-30.8620,51.3590,605.3200)	(-6.0056,44.5727,595.1490)	(18.2781,51.5005,605.0355)	(-6.0262,62.2291,596.2169)	
(-14.9533,-41.5207,599.8546)	(7.9253,-40.4044,599.7280)	(-5.7860,1.2055,598.9621)	(-5.0534,13.4914,590.0182)	(-47.7885,-18.1098,614.1326)	(-23.3219,-15.8214,612.0030)	(15.8758,-16.7607,610.7936)	(39.5978,-17.8720,616.6547)	(-30.8620,51.3496,603.3219)	(-5.9994,42.5044,595.1306)	(18.4119,51.6664,605.0398)	(-6.0580,62.1272,595.2282)	
(-17.0235,-41.5981,600.8630)	(7.9315,-42.4869,599.7307)	(-5.7860,1.2057,597.9780)	(-7.1296,13.4647,589.0354)	(-49.9513,-20.2821,615.1358)	(-25.4346,-17.9798,612.0076)	(14.8229,-17.8274,610.7879)	(38.5253,-18.9160,614.6547)	(-30.8524,51.2731,602.3216)	(-8.0626,42.4951,595.1378)	(18.4119,51.6664,605.0355)	(-7.1196,61.0852,595.2182)	
(-17.0204,-41.5981,600.8657)	(5.9024,-42.5659,600.7346)	(-7.8247,-0.8798,598.9808)	(-7.0629,11.4545,591.0154)	(-49.9109,-20.2472,614.1356)	(-25.4346,-17.9798,612.0076)	(12.6950,-17.8337,610.7981)	(38.4318,-20.9776,614.6298)	(-30.8524,51.2668,602.3188)	(-7.0612,41.4014,594.1533)	(16.1780,51.4942,603.0514)	(-7.1196,60.9882,594.2293)	
(-19.0945,-41.6755,601.8770)	(4.8047,-39.3819,599.7610)	(-9.8955,1.1839,597.9952)	(-9.1391,11.4312,590.0268)	(-52.1776,-18.2172,617.1537)	(-27.5565,-17.9862,612.0238)	(12.6918,-17.8337,610.7966)	(38.5380,-16.8731,614.6547)	(-31.8960,49.1743,602.3230)	(-9.1476,41.3280,593.1687)	(13.9703,48.2771,601.0688)	(-9.2325,60.7817,592.2486)	
(-19.1043,-41.6044,600.8788)	(4.8605,-41.5260,600.7346)	(-9.8955,0.1492,598.0066)	(-9.1391,11.4312,590.0324)	(-52.1712,-20.3585,617.1450)	(-27.5565,-17.9862,612.0178)	(12.6950,-17.8305,610.7938)	(36.2066,-20.9808,613.6687)	(-36.0796,49.2473,603.3422)	(-11.1806,41.3859,594.1634)	(13.9672,48.2771,601.0731)	(-11.3024,58.6302,591.2584)	
(-19.0945,-41.6755,601.8626)	(4.8605,-41.5323,600.7446)	(-9.8955,0.1492,598.0066)	(-9.1391,11.4312,590.0324)	(-52.0836,-20.2886,615.1476)	(-27.5502,-20.1102,612.0091)	(12.6397,-19.9196,609.7899)	(36.1133,-20.9477,612.6635)	(-36.0796,49.2441,603.3422)	(-9.1476,41.3280,593.1546)	(16.1161,49.3218,602.0414)	(-9.2530,58.6302,591.2300)	
(-19.1043,-41.6044,600.8772)	(4.8605,-41.5323,600.7419)	(-9.8703,0.1492,598.9808)	(-9.1659,11.4141,589.0496)	(-52.0931,-18.1542,615.1606)	(-27.5565,-17.9862,612.0178)	(12.6429,-17.8025,609.8060)	(36.2066,-18.8599,613.6759)	(-36.0796,49.2410,603.3422)	(-11.2038,41.3218,593.1717)	(13.9703,48.2771,602.0444)	(-11.3024,58.6240,591.2428)	
(-21.1756,-43.7712,601.8800)	(4.8109,-41.4644,599.7595)	(-9.8986,0.1441,598.9866)	(-9.1391,11.4312,590.0268)	(-52.1712,-20.3585,617.1450)	(-27.5461,-20.0753,611.0180)	(12.6461,-19.9196,609.7914)	(36.2097,-20.9840,613.6731)	(-33.9740,49.0950,602.3302)	(-11.2038,41.3280,593.1872)	(13.9672,48.2771,601.0731)	(-11.3024,58.6240,591.2428)	
(-21.1818,-41.6818,601.8886)	(4.8605,-41.5323,600.7419)	(-9.8955,0.1492,598.0009)	(-11.2084,11.4110,589.0552)	(-52.1712,-20.3585,617.1450)	(-27.5565,-17.9862,612.0224)	(12.6397,-17.8025,609.8044)	(36.3062,-20.9840,614.6504)	(-36.0796,49.2410,603.3422)	(-11.1806,41.3890,594.1662)	(13.9672,48.2771,602.0487)	(-11.3024,58.6240,591.2442)	
(-21.1849,-41.6818,601.8886)	(2.7703,-39.3913,599.7854)	(-10.9402,0.1441,598.9923)	(-11.1850,11.4250,590.0438)	(-54.3577,-20.4000,618.1598)	(-29.6721,-20.1166,612.0238)	(10.5247,-19.9260,609.7986)	(35.1407,-19.9533,612.6548)	(-36.0796,49.2410,603.3422)	(-11.1744,39.3273,594.1535)	(13.9672,48.2771,601.0646)	(-11.3024,58.6240,591.2442)	
(-21.1849,-41.6818,601.8800)	(2.7766,-41.5386,600.7519)	(-10.9402,0.1441,598.9866)	(-11.2084,11.4110,589.0650)	(-54.3577,-20.4000,618.1569)	(-29.6721,-20.1166,612.0238)	(10.5215,-17.8089,609.8103)	(36.3994,-19.0145,614.6416)	(-36.0890,49.2441,603.3465)	(-11.1744,39.3273,594.1676)	(13.9734,48.2771,601.0788)	(-13.3517,58.6179,591.2542)	
(-21.1818,-41.6818,601.8886)	(2.7304,-41.4707,599.7597)	(-10.9402,0.1441,598.9908)	(-11.2084,11.4281,590.0438)	(-54.3577,-20.4000,618.1598)	(-29.6721,-20.1166,612.0238)	(10.5279,-19.9260,609.8001)	(36.2097,-18.9552,612.6548)	(-33.9834,49.1712,602.3346)	(-11.1806,41.3890,594.1719)	(11.8251,48.1930,600.0804)	(-11.3024,58.6240,591.2484)	
(-21.1818,-41.6818,601.8886)	(4.8047,-39.3819,599.7652)	(-10.9402,0.1441,598.9908)	(-11.1850,11.4360,591.0382)	(-54.3577,-20.4000,618.1569)	(-29.6721,-20.1166,612.0165)	(10.4729,-19.8913,608.8078)	(36.3030,-18.9520,613.6380)	(-33.9982,49.2441,603.3350)	(-11.1511,39.3880,595.1480)	(11.8158,48.1930,600.0804)	(-11.3024,58.6240,591.2428)	
(-21.1818,-41.6818,601.8886)	(2.7242,-39.3850,599.7668)	(-10.9402,0.1441,598.9980)	(-11.2084,11.4220,590.0396)	(-54.3577,-20.4000,617.1625)	(-29.6860,-18.0240,613.0310)	(10.5215,-17.8089,609.8118)	(35.1439,-19.9565,612.6753)	(-38.2138,49.2441,605.3548)	(-11.1744,39.3273,594.1692)	(11.8220,48.1930,601.0646)	(-13.3517,58.6179,591.2598)	
(-19.1105,-39.5184,600.8858)	(2.7242,-39.3850,599.7710)	(-10.9402,0.1441,598.9908)	(-11.2084,11.4220,590.0396)	(-54.3104,-20.3650,617.1596)	(-29.6721,-20.1166,612.0224)	(10.4761,-19.8913,608.8050)	(35.1503,-19.9597,612.6709)	(-38.2138,49.2441,605.3504)	(-13.2403,41.3890,594.1989)	(14.0318,48.2771,602.0588)	(-13.3517,58.6210,591.2569)	
(-21.1881,-39.5924,601.8971)	(2.7703,-39.4526,600.7590)	(-10.9402,0.1441,598.9866)	(-11.1850,11.4250,590.0495)	(-54.3168,-18.2236,617.1712)	(-27.5565,-17.9862,612.0208)	(10.5215,-17.8089,609.8103)	(35.2322,-17.8569,613.6628)	(-36.0890,49.2441,603.3465)	(-11.1806,41.3890,594.1646)	(13.9703,48.2771,601.0688)	(-13.3517,58.6179,591.2542)	
(-21.1818,-41.6818,601.8886)	(2.7211,-39.3174,598.7800)	(-10.9667,0.1461,598.9908)	(-11.2084,11.4220,590.0396)	(-54.3104,-20.3650,617.1596)	(-29.6784,-17.9926,612.0326)	(10.5215,-17.8089,609.8103)	(35.1407,-19.9533,612.6446)	(-38.2138,49.2441,605.3504)	(-13.2143,39.3849,595.1651)	(11.8158,48.1930,600.0904)	(-13.3517,58.6179,591.2556)	
(-21.1818,-41.6818,601.8843)	(4.8109,-41.4613,600.7246)	(-10.9402,0.1441,598.9980)	(-11.2084,11.4189,590.0382)	(-54.3104,-20.3650,617.1596)	(-29.6860,-18.0240,613.0326)	(10.5152,-17.8089,609.8029)	(35.1439,-19.9533,612.6548)	(-36.0614,49.1712,603.3422)	(-11.1511,39.3880,595.1438)	(11.8189,48.1930,600.0861)	(-13.3517,58.6240,591.2640)	
(-21.1818,-41.6818,601.8785)	(2.7703,-39.4526,600.7562)	(-10.9402,0.1441,598.9866)	(-11.1850,11.4250,590.0438)	(-54.3104,-20.3650,617.1596)	(-29.6784,-17.9926,612.0326)	(10.5215,-19.9260,609.8016)	(36.2129,-20.9840,613.6672)	(-36.0614,49.1712,602.3446)	(-11.1744,39.3273,594.1634)	(11.8189,48.1930,600.0861)	(-11.3024,58.6210,591.2344)	
(-21.1818,-41.6818,601.8886)	(2.7242,-39.3850,599.7652)	(-10.9667,0.1473,598.9908)	(-11.2084,11.4110,589.0650)	(-54.3104,-20.3650,617.1596)	(-29.6860,-18.0240,612.0340)	(10.5247,-17.8089,609.8118)	(35.1376,-19.9501,612.6490)	(-36.0890,49.2410,603.3465)	(-11.1806,41.3890,594.1620)	(13.9672,48.2771,601.0630)	(-13.3517,58.6179,591.2556)	
(-21.1818,-41.6818,601.8843)	(2.7766,-41.5354,600.7462)	(-10.9636,0.1461,598.0066)	(-11.1850,11.4250,590.0495)	(-54.3104,-20.3650,617.1625)	(-29.6860,-18.0240,613.0310)	(10.5733,-17.8401,610.8068)	(36.2097,-20.9840,614.6416)	(-38.2138,49.2410,605.3504)	(-13.2403,41.3828,594.1833)	(11.8220,48.1930,601.0603)	(-13.3517,58.6179,591.2682)	
(-21.1944,-39.5246,600.9059)	(2.7242,-39.3850,599.7652)	(-10.9402,0.1441,599.0023)	(-11.2084,11.4079,589.0496)	(-54.3136,-20.4000,617.1640)	(-29.6860,-18.0240,613.0295)	(10.5247,-17.8089,609.8134)	(36.1133,-18.9520,612.6386)	(-36.0890,49.2441,603.3465)	(-13.2403,41.3828,594.1848)	(11.8158,48.1930,600.0718)	(-13.3320,58.7145,592.2572)	
(-21.1818,-41.6818,601.8886)	(2.7641,-39.3850,600.7504)	(-10.9667,0.1441,598.9951)	(-11.2084,11.4189,590.0382)	(-54.3104,-20.3650,617.1596)	(-29.6860,-18.0240,613.0326)	(10.5247,-17.8089,609.8118)	(35.1471,-19.9565,612.6563)	(-38.2138,49.2441,605.3548)	(-13.2403,41.3890,594.1932)	(11.8220,48.1930,601.0603)	(-13.3517,58.6240,591.2682)	
