(-24.4761,9.3538,591.1205)	(-63.1727,-20.5659,622.2096)	(-38.2729,-18.1754,617.0796)	(0.9742,-19.9546,608.8562)	(26.4744,-19.9097,610.7074)	(-24.5625,39.2901,594.2432)	
(-24.4761,9.3507,591.1092)	(-63.1727,-20.5659,622.2080)	(-38.2729,-18.1754,617.0796)	(0.9647,-19.9199,608.8531)	(26.3935,-19.9065,610.7015)	(-23.5239,36.2622,594.2333)	
(-24.4770,9.3433,590.1302)	(-63.1727,-20.5659,622.2080)	(-38.2729,-18.1754,617.0796)	(0.9647,-19.9230,608.8546)	(26.3967,-21.9986,609.7052)	(-24.5625,39.2839,594.2375)	
(-24.4770,9.3433,590.1302)	(-63.1727,-20.5659,622.2080)	(-38.2729,-18.1754,617.0796)	(0.9710,-19.9262,608.8531)	(26.3998,-21.9954,609.7052)	(-24.5633,39.2295,593.2514)	
(-24.4770,9.3402,590.1246)	(-63.1116,-20.5309,621.2107)	(-38.2729,-18.1754,617.0796)	(0.9615,-19.9199,608.8473)	(26.3967,-21.9922,609.6950)	(-23.5295,39.2870,594.2234)	
(-24.4761,9.3507,591.1034)	(-63.2403,-18.4389,623.2172)	(-38.2729,-18.1754,617.0796)	(0.9647,-19.9230,608.8562)	(26.4712,-19.9065,610.7030)	(-23.5295,39.2870,594.2304)	
(-24.4761,9.3538,591.1092)	(-63.2338,-20.6009,623.2083)	(-38.2238,-20.2469,615.0708)	(2.0236,-18.8960,608.8414)	(26.3935,-21.9890,609.6934)	(-23.5265,39.2325,593.2400)	
(-22.4312,9.3494,590.1189)	(-60.9522,-22.6796,621.1870)	(-36.0915,-20.2405,615.0590)	(4.1383,-18.8897,608.8312)	(28.5897,-19.9065,610.7015)	(-21.4789,38.2716,593.2244)	
(-21.3898,9.3464,589.1118)	(-60.9522,-22.6796,621.1870)	(-36.0915,-20.2405,615.0590)	(4.1797,-18.9163,609.8250)	(28.5865,-19.9001,610.6913)	(-21.4729,38.3306,594.2190)	
(-21.4021,8.3461,591.0822)	(-60.9522,-22.6796,621.1870)	(-36.0915,-20.2405,615.0590)	(4.1383,-18.8897,608.8312)	(30.7081,-19.8938,610.6780)	(-21.4729,38.2685,593.2244)	
(-21.3837,9.3600,591.0822)	(-58.7386,-22.5961,620.1706)	(-36.0915,-20.2405,615.0575)	(4.1383,-18.8897,608.8312)	(30.7113,-19.8970,610.6898)	(-21.4729,38.2716,594.2132)	
(-21.3960,9.3464,590.0920)	(-60.9522,-22.6796,621.1870)	(-36.0736,-20.2373,615.0560)	(4.1766,-18.8897,608.8328)	(28.5865,-19.9001,610.6898)	(-21.4729,38.2716,593.2300)	
(-21.3898,9.3525,591.0780)	(-60.9522,-22.6796,621.1870)	(-36.0736,-20.2056,615.0560)	(4.1797,-19.9482,609.8410)	(28.5865,-19.9065,610.6956)	(-21.4729,38.2716,594.2105)	
(-21.3868,11.4315,592.1006)	(-60.9010,-20.4894,620.1958)	(-36.0557,-20.1706,613.0666)	(4.1383,-18.8897,608.8312)	(28.4990,-19.8656,609.6904)	(-21.4550,38.4577,596.2351)	
(-15.1736,15.6735,597.0892)	(-58.7100,-16.1514,618.2039)	(-32.8549,-14.7866,612.0602)	(7.3333,-14.6135,608.8440)	(33.8794,-16.7065,610.6896)	(-16.2191,45.0425,602.2049)	
(-9.0624,21.8147,594.0944)	(-54.3296,-13.9410,617.1860)	(-28.6280,-11.5784,610.0470)	(11.5569,-11.4448,608.8105)	(35.9884,-13.5193,610.6661)	(-8.9681,51.3328,602.1944)	
(-2.7780,24.9655,595.0416)	(-44.5540,-11.6894,612.1408)	(-22.2920,-9.4071,608.0208)	(20.0842,-9.3323,609.7938)	(42.4505,-9.3075,611.6653)	(-1.6420,55.4501,601.1925)	
(4.1133,26.8245,590.0388)	(-42.3943,-12.6947,611.1247)	(-15.9348,-11.5097,610.9794)	(24.4853,-8.2937,612.7836)	(48.8062,-9.3872,620.6412)	(2.3958,55.2799,599.1676)	
(1.0597,21.7453,590.0178)	(-43.4535,-13.7614,611.1262)	(-19.0945,-10.5073,609.9842)	(22.2829,-9.3433,611.7694)	(47.5122,-12.6095,618.6266)	(0.2890,51.0326,598.1519)	
(-1.1050,19.5855,588.0237)	(-47.8382,-13.8725,615.1502)	(-22.2676,-11.5949,611.0059)	(18.0454,-11.4801,611.7916)	(43.2168,-12.6192,618.6444)	(-3.9578,47.6799,595.1574)	
(-3.0911,15.5393,590.0096)	(-49.9577,-18.1477,615.1416)	(-23.3219,-15.8214,611.0120)	(15.8758,-16.7607,610.7864)	(40.6671,-18.9128,614.6576)	(-6.0056,44.5727,595.1490)	
