(-23.1725,-76.8186,598.7588)	(0.6700,-76.6107,597.6146)	(-13.0126,-34.9024,593.8608)	(-13.2215,-25.2600,585.9052)	(-56.1957,-54.3616,614.0312)	(-29.5559,-53.9206,609.8822)	(9.3484,-54.4913,605.6670)	(33.8908,-54.6967,609.5282)	(-36.9093,15.6112,597.2094)	(-14.2445,3.2237,589.0175)	(12.5891,13.6265,593.9252)	(-14.3752,21.4927,585.1122)	
(-23.1725,-76.8186,598.7576)	(0.6700,-76.6107,597.6089)	(-13.0126,-34.9024,593.8650)	(-13.2014,-25.2631,585.9109)	(-56.1451,-54.2712,613.0342)	(-31.6709,-53.9270,609.8954)	(7.2940,-54.4976,605.6786)	(33.8008,-56.8041,608.5247)	(-36.9093,15.6112,597.2068)	(-14.2445,3.2207,588.0372)	(12.5891,13.6265,593.9310)	(-14.3570,21.5179,585.1122)	
(-23.1725,-76.8186,598.7561)	(0.6271,-76.4933,597.6046)	(-13.0126,-34.9024,593.8706)	(-13.2014,-25.2631,585.9165)	(-57.3124,-53.3847,615.0415)	(-30.6134,-52.8621,609.8954)	(9.3955,-52.3880,606.6676)	(33.8939,-54.6967,609.5340)	(-36.9032,13.5391,597.2010)	(-14.2445,3.2207,588.0387)	(12.5891,13.6265,593.9210)	(-14.3570,21.5210,585.1164)	
(-23.1725,-76.8186,598.7676)	(0.6700,-76.6138,597.6216)	(-13.0126,-34.9024,593.8650)	(-13.2678,-24.1561,583.9100)	(-56.2462,-54.4519,615.0268)	(-31.6709,-53.9270,609.8984)	(7.2972,-54.4976,606.6706)	(33.8039,-56.8041,608.5364)	(-36.9093,15.6112,597.2068)	(-14.2445,3.2207,588.0274)	(12.5891,13.6265,593.9225)	(-14.3752,21.4927,585.1108)	
(-23.1725,-76.8186,598.7546)	(0.6700,-76.6169,597.6231)	(-13.0126,-34.9570,594.8504)	(-13.2678,-23.1517,583.9100)	(-56.2462,-54.4519,615.0312)	(-31.6709,-53.9270,609.8954)	(9.4018,-54.4913,605.6684)	(33.8939,-54.7789,609.5340)	(-36.9093,15.6112,597.2122)	(-14.2445,3.2239,589.0216)	(12.5891,13.6265,593.9238)	(-14.3570,21.5271,586.1082)	
(-23.1787,-74.7395,598.7646)	(0.6638,-74.5413,597.6316)	(-13.0126,-34.9024,593.8650)	(-13.2014,-25.2631,585.9109)	(-56.2462,-54.4519,615.0312)	(-30.6229,-51.8099,609.8998)	(7.2972,-53.4523,605.6728)	(33.8939,-53.7298,608.5451)	(-36.9093,15.6112,597.2068)	(-16.2722,3.2178,588.0485)	(12.5891,13.6265,593.9267)	(-14.3570,21.5179,584.1093)	
(-23.1725,-76.8186,598.7561)	(0.6700,-76.4902,597.6104)	(-13.0126,-34.9024,593.8650)	(-13.2678,-23.1517,583.9100)	(-56.1957,-54.3616,614.0312)	(-31.6709,-53.9270,609.8969)	(7.2472,-54.4976,605.6770)	(33.7976,-54.6936,609.5122)	(-36.9093,15.6143,597.2094)	(-14.2263,3.2239,589.0330)	(12.5891,13.6265,593.9366)	(-14.3752,21.5240,586.0969)	
(-23.1756,-74.8661,599.7642)	(0.6638,-74.5382,597.6259)	(-13.0126,-34.9024,593.8706)	(-13.2678,-23.1517,583.9044)	(-56.2462,-54.4519,615.0312)	(-31.6601,-53.8368,608.9046)	(7.2472,-54.4976,605.6770)	(33.8008,-56.7185,608.5146)	(-36.9093,15.6112,597.2122)	(-14.2445,3.2239,589.0175)	(12.5860,13.6265,593.9154)	(-14.3570,21.5271,586.0969)	
(-23.1787,-74.7395,598.7646)	(0.6638,-74.5382,597.6288)	(-13.0126,-34.9024,593.8806)	(-13.2014,-25.2631,585.9165)	(-56.1451,-54.2712,613.0314)	(-31.6709,-53.9270,609.8910)	(7.2940,-54.4976,605.6786)	(33.7976,-54.6936,609.5180)	(-36.9093,15.6112,597.2068)	(-14.2445,3.2207,588.0372)	(12.5891,13.6265,593.9366)	(-14.3570,21.5271,586.1068)	
(-23.1787,-74.7395,598.7646)	(0.6638,-74.5382,597.6246)	(-13.0126,-34.9024,593.8764)	(-13.2678,-24.1622,583.9212)	(-57.3187,-51.1652,615.0502)	(-30.6134,-52.8621,609.8954)	(7.2909,-52.3943,606.6778)	(33.8876,-52.6681,610.5156)	(-36.9093,15.6112,597.2068)	(-14.2263,3.2239,589.0274)	(12.5891,13.6265,593.9294)	(-14.3570,21.5271,586.1124)	
