(-13.2215,-25.2600,585.9052)	(-56.1957,-54.3616,614.0312)	(-29.5559,-53.9206,609.8822)	(9.3484,-54.4913,605.6670)	(33.8908,-54.6967,609.5282)	(-14.2445,3.2237,589.0175)	
(-13.2014,-25.2631,585.9109)	(-56.1451,-54.2712,613.0342)	(-31.6709,-53.9270,609.8954)	(7.2940,-54.4976,605.6786)	(33.8008,-56.8041,608.5247)	(-14.2445,3.2207,588.0372)	
(-13.2014,-25.2631,585.9165)	(-57.3124,-53.3847,615.0415)	(-30.6134,-52.8621,609.8954)	(9.3955,-52.3880,606.6676)	(33.8939,-54.6967,609.5340)	(-14.2445,3.2207,588.0387)	
(-13.2678,-24.1561,583.9100)	(-56.2462,-54.4519,615.0268)	(-31.6709,-53.9270,609.8984)	(7.2972,-54.4976,606.6706)	(33.8039,-56.8041,608.5364)	(-14.2445,3.2207,588.0274)	
(-13.2678,-23.1517,583.9100)	(-56.2462,-54.4519,615.0312)	(-31.6709,-53.9270,609.8954)	(9.4018,-54.4913,605.6684)	(33.8939,-54.7789,609.5340)	(-14.2445,3.2239,589.0216)	
(-13.2014,-25.2631,585.9109)	(-56.2462,-54.4519,615.0312)	(-30.6229,-51.8099,609.8998)	(7.2972,-53.4523,605.6728)	(33.8939,-53.7298,608.5451)	(-16.2722,3.2178,588.0485)	
(-13.2678,-23.1517,583.9100)	(-56.1957,-54.3616,614.0312)	(-31.6709,-53.9270,609.8969)	(7.2472,-54.4976,605.6770)	(33.7976,-54.6936,609.5122)	(-14.2263,3.2239,589.0330)	
(-13.2678,-23.1517,583.9044)	(-56.2462,-54.4519,615.0312)	(-31.6601,-53.8368,608.9046)	(7.2472,-54.4976,605.6770)	(33.8008,-56.7185,608.5146)	(-14.2445,3.2239,589.0175)	
(-13.2014,-25.2631,585.9165)	(-56.1451,-54.2712,613.0314)	(-31.6709,-53.9270,609.8910)	(7.2940,-54.4976,605.6786)	(33.7976,-54.6936,609.5180)	(-14.2445,3.2207,588.0372)	
(-13.2678,-24.1622,583.9212)	(-57.3187,-51.1652,615.0502)	(-30.6134,-52.8621,609.8954)	(7.2909,-52.3943,606.6778)	(33.8876,-52.6681,610.5156)	(-14.2263,3.2239,589.0274)	
(-13.2477,-23.1517,583.9310)	(-57.2600,-53.2961,614.0415)	(-32.7159,-52.8684,609.9056)	(7.2441,-54.4090,605.6756)	(33.7976,-54.6936,609.5122)	(-16.2722,3.2178,589.0386)	
(-13.2215,-25.2210,584.9168)	(-57.3124,-53.3847,615.0415)	(-32.7284,-52.8684,609.9071)	(7.2972,-54.4976,606.6706)	(33.8939,-54.7820,609.5340)	(-16.3079,4.2412,588.0316)	
(-13.2618,-25.1245,582.9060)	(-56.3474,-54.6327,615.0340)	(-31.6817,-54.0172,609.9000)	(9.4081,-53.5297,606.6574)	(33.9934,-55.9340,610.4982)	(-14.2811,3.2174,586.0415)	
(-13.3162,-28.0564,580.8886)	(-54.0541,-58.6171,613.9992)	(-29.5570,-56.1315,610.8747)	(10.4021,-55.5430,605.6670)	(34.9672,-57.9672,609.5269)	(-13.3433,1.1868,583.0236)	
(-13.3676,-30.9210,577.8828)	(-54.0006,-60.6473,612.9934)	(-29.5370,-60.2720,608.8610)	(10.4667,-57.7432,606.6447)	(36.1150,-59.0163,610.5099)	(-13.3452,-4.8844,582.9792)	
(-12.3961,-35.7384,574.8785)	(-54.0821,-65.1176,614.9728)	(-29.5233,-64.5062,609.8375)	(10.4856,-64.0634,606.6186)	(34.9893,-64.3186,609.4965)	(-12.4329,-7.8314,576.9928)	
(-11.3722,-41.7205,574.8182)	(-52.9579,-69.2654,613.9553)	(-27.3967,-68.7341,609.8128)	(12.5965,-66.1638,606.5998)	(36.1403,-67.4784,610.4678)	(-13.4125,-13.7850,574.9630)	
(-11.2892,-49.4060,582.8010)	(-52.9873,-73.6488,614.9348)	(-28.4503,-70.9691,609.8245)	(12.6646,-68.3816,607.5833)	(36.0531,-69.5987,610.4402)	(-12.4497,-16.7790,574.9466)	
