(-11.1208,-10.0782,589.9557)	(-53.9948,-46.7404,612.0501)	(-29.5769,-44.3190,608.9260)	(10.4195,-44.0494,606.6978)	(36.9460,-46.3850,609.5367)	(-11.0163,17.7887,598.0747)	
(-11.1208,-10.0782,589.9670)	(-53.9948,-46.7404,612.0501)	(-29.5769,-44.3190,608.9245)	(10.4195,-44.0494,606.6978)	(36.9460,-46.3850,609.5469)	(-11.0163,17.7887,598.0717)	
(-11.1208,-10.0782,589.9670)	(-53.9948,-46.7404,612.0473)	(-29.5769,-44.3190,608.9260)	(10.4195,-44.0494,606.6978)	(36.9460,-46.3818,609.5469)	(-11.0225,19.8643,598.0675)	
(-11.1208,-10.0813,589.9614)	(-56.1673,-46.8250,613.0619)	(-29.5769,-44.3190,608.9245)	(10.4195,-44.0494,606.6978)	(36.9460,-46.3850,609.5570)	(-11.0163,17.7887,598.0747)	
(-11.1443,-10.0620,588.9771)	(-53.9948,-46.7404,612.0501)	(-29.5769,-44.3190,608.9245)	(12.5273,-44.0431,606.6862)	(36.0802,-47.2131,609.5469)	(-11.0163,17.7887,598.0762)	
(-11.1208,-10.0751,589.9557)	(-53.9948,-46.7404,612.0501)	(-29.5769,-44.3905,608.9318)	(10.4227,-44.0494,606.7036)	(36.9460,-46.3850,609.5570)	(-11.0163,17.7887,598.0762)	
(-11.1208,-10.0782,589.9670)	(-56.1673,-46.8250,613.0619)	(-29.5843,-44.3936,609.9228)	(10.4227,-44.0494,606.6978)	(36.0833,-47.2958,610.5358)	(-11.0163,17.7887,598.0762)	
(-11.1208,-10.0782,589.9614)	(-53.9948,-46.7404,612.0501)	(-29.5769,-44.3190,608.9275)	(10.4258,-44.0494,606.7036)	(36.8446,-46.3818,609.5265)	(-11.0163,17.7918,598.0847)	
(-11.1443,-10.0720,589.9458)	(-53.9948,-46.7404,611.0530)	(-29.5769,-44.3190,608.9245)	(12.5242,-44.0431,606.6890)	(36.9460,-46.3850,609.5570)	(-11.0163,17.7887,598.0747)	
(-11.1208,-10.0782,589.9670)	(-53.9948,-46.7404,612.0501)	(-29.5769,-44.3190,608.9230)	(10.4195,-44.0494,606.6978)	(36.9460,-46.3850,609.5469)	(-11.0163,17.7887,598.0720)	
(-11.1208,-10.0782,589.9614)	(-53.9476,-46.6621,611.0530)	(-29.5769,-44.3190,608.9245)	(10.4195,-44.0494,606.6978)	(36.9460,-46.3850,609.5367)	(-11.0163,17.7887,598.0847)	
(-11.1208,-10.0782,589.9614)	(-54.0011,-44.6163,612.0588)	(-29.5769,-44.2506,607.9364)	(12.4719,-43.9686,605.6941)	(38.1986,-45.2518,611.5318)	(-11.0163,17.7887,598.0747)	
(-7.0290,-10.0659,589.9330)	(-51.8792,-44.6100,612.0470)	(-25.3533,-44.2316,607.9030)	(14.5731,-43.9623,605.6825)	(40.3203,-45.2455,611.5406)	(-7.9029,17.7949,598.0490)	
(-4.9832,-10.0597,589.9472)	(-47.4819,-46.4084,608.0152)	(-23.2482,-44.1443,605.9019)	(16.7334,-44.0272,606.6614)	(42.4419,-44.3196,611.5186)	(-5.8325,16.7727,598.0488)	
(-1.8753,-11.0892,590.9200)	(-45.3738,-46.4021,608.0036)	(-19.0417,-42.0961,607.8634)	(19.9610,-42.9580,607.6490)	(44.6612,-44.3164,611.4966)	(-1.6854,17.8167,598.0246)	
(4.2172,-7.9841,589.8905)	(-41.1312,-46.3112,606.9804)	(-15.9065,-42.9294,605.8684)	(24.1834,-42.9580,607.6417)	(51.2810,-44.4490,613.4756)	(2.4554,19.9048,598.0001)	
(10.3548,-7.9657,589.8410)	(-36.9314,-44.1950,605.9674)	(-11.7637,-41.9317,604.8396)	(28.4809,-41.9630,607.6184)	(54.8519,-43.4464,616.4637)	(6.6025,19.9173,597.9799)	
(14.4466,-7.9534,589.8338)	(-33.7364,-46.2141,604.9400)	(-7.5790,-41.7184,602.8245)	(35.0146,-40.0392,610.5940)	(59.5383,-42.7203,619.4162)	(11.7863,18.9013,597.9540)	
(19.6366,-8.9731,590.7953)	(-27.4314,-45.8795,601.9060)	(-3.4363,-43.7116,601.7660)	(38.3891,-41.1463,612.5646)	(61.6974,-42.7171,619.4354)	(15.9333,18.9431,597.9383)	
(25.7846,-7.9351,590.7711)	(-23.2596,-45.7889,601.8800)	(2.7890,-43.9162,601.7630)	(42.7562,-40.2127,613.5402)	(66.1429,-42.7749,620.4209)	(22.2325,19.9952,598.8921)	
(32.1278,-10.0188,593.7056)	(-17.0182,-45.6920,599.8505)	(8.2085,-41.8748,605.7187)	(47.3552,-40.3956,616.5021)	(70.1140,-41.8256,626.3786)	(28.5525,20.0450,599.8616)	
(37.4810,-10.0347,594.6979)	(-12.8573,-45.6795,599.8245)	(10.1897,-42.6355,605.7128)	(51.6464,-40.5238,618.4764)	(72.4490,-42.0261,628.3538)	(31.7674,19.0783,600.8484)	
(39.6523,-10.0285,594.6922)	(-9.7813,-48.6212,597.8011)	(14.3776,-43.7452,604.6658)	(53.0799,-41.5948,619.4814)	(74.9396,-41.4614,629.3677)	(33.9489,20.0856,601.8334)	
(43.9006,-10.0478,596.6622)	(-7.7078,-47.5834,597.7911)	(18.7723,-43.9528,606.6411)	(55.2424,-41.6541,620.4566)	(74.9396,-41.4614,629.3616)	(36.0363,20.1293,601.8292)	
(45.8521,-10.0257,596.6251)	(-5.6343,-47.5772,597.7796)	(20.8042,-44.0177,605.6663)	(57.6441,-40.7032,620.4774)	(77.7580,-41.3941,632.3250)	(40.5413,18.1356,604.7918)	
(45.9707,-10.0415,596.6478)	(-3.5700,-47.5709,597.7666)	(19.8935,-44.7728,606.6411)	(57.7701,-38.6149,622.4576)	(76.8176,-40.3547,633.3450)	(40.3190,20.1730,602.8099)	
(45.9707,-10.0415,596.6550)	(-3.5607,-47.5709,597.7682)	(19.9641,-44.9220,606.6439)	(57.7766,-40.7705,621.4660)	(77.9199,-41.4548,633.3238)	(40.6494,18.1633,605.7855)	
(45.9707,-10.0478,597.6286)	(-3.5607,-47.5709,597.7682)	(19.8966,-44.9251,606.6454)	(57.6441,-40.7064,621.4394)	(77.7580,-41.4581,632.3326)	(40.6431,20.2666,605.7942)	
(45.0556,-10.0667,597.6500)	(-5.6112,-47.6586,598.7762)	(18.7754,-43.9497,605.6780)	(55.3650,-40.7097,620.4804)	(77.9265,-41.4581,633.3253)	(40.7574,18.1911,606.7750)	
(42.7522,-11.0600,595.6671)	(-5.6174,-45.5796,598.7862)	(16.6680,-41.8559,605.6838)	(55.4941,-40.7227,621.4780)	(73.2141,-41.4007,633.3465)	(38.4374,20.2291,604.8078)	
(40.7955,-11.0869,596.6595)	(-11.8171,-48.7107,599.8088)	(14.5079,-43.8942,605.6650)	(51.0525,-41.6671,620.4924)	(71.6588,-42.4991,629.3603)	(36.3459,18.1230,604.8164)	
(38.4092,-10.0223,594.6750)	(-11.8298,-48.7107,598.8122)	(12.5242,-44.0399,606.6847)	(50.9368,-43.6801,619.4726)	(71.6719,-44.4784,629.3768)	(34.0528,18.0613,602.8244)	
(0.0000,0.0000,-1.0000)	(-14.9483,-47.6868,598.8294)	(8.2664,-43.9876,606.7036)	(47.4850,-42.6174,617.5102)	(0.0000,0.0000,-1.0000)	(29.7805,17.0085,601.8510)	
(25.9683,-11.0298,591.7608)	(-23.2564,-47.7933,599.8750)	(2.0010,-44.9693,605.7566)	(40.6370,-42.3501,613.5506)	(63.6128,-46.0933,624.3990)	(24.3979,17.9500,600.8686)	
(0.0000,0.0000,-1.0000)	(-31.5998,-49.0199,601.9206)	(-5.4267,-43.9478,604.7904)	(35.1094,-42.2243,611.5743)	(56.5819,-45.0979,621.4484)	(16.0078,16.9159,598.9326)	
(8.3212,-12.0738,589.8568)	(-38.9807,-46.1485,604.9691)	(-15.9002,-45.0261,605.8496)	(26.3820,-44.1507,608.6148)	(49.5136,-44.6782,616.4889)	(6.5032,17.7865,595.9804)	
(1.1636,-13.1070,589.8695)	(-45.3405,-46.3239,607.0037)	(-19.0488,-44.0634,605.8656)	(19.9736,-45.1441,607.6549)	(47.3712,-44.6847,616.4757)	(0.2671,15.6751,595.0176)	
(-2.9281,-13.1193,589.8922)	(-47.4451,-46.3302,607.0154)	(-23.2511,-44.0760,605.8918)	(18.8443,-44.0241,606.6570)	(42.5520,-46.4500,611.5202)	(-3.8592,14.6587,595.0362)	
(-3.9897,-12.0819,589.8978)	(-49.5497,-46.3365,607.0270)	(-25.3528,-44.1570,606.9002)	(16.6711,-43.9560,605.6694)	(40.5303,-45.3944,613.5388)	(-5.8904,14.6524,596.0319)	
(-10.1139,-12.0973,588.9419)	(-56.0661,-46.6685,611.0618)	(-29.5621,-44.1696,606.9234)	(12.4040,-43.8942,602.7017)	(38.2113,-47.3690,611.5436)	(-9.0171,15.6472,595.0634)	
(-13.2268,-10.0297,586.9748)	(-58.1909,-44.5575,611.0823)	(-33.7713,-44.1823,606.9526)	(8.1021,-43.7578,602.7176)	(35.0241,-46.3946,610.5432)	(-13.1496,17.7000,595.0720)	
(-18.2722,-13.1716,590.9754)	(-62.4278,-45.6210,611.1057)	(-35.8759,-45.0828,606.9599)	(4.9100,-43.6928,601.7340)	(30.6962,-46.3295,609.5820)	(-17.2889,17.6602,594.1203)	
(-22.3911,-10.0410,587.0168)	(-65.6716,-44.6514,612.1234)	(-41.1967,-42.2402,608.9974)	(-1.3458,-43.7116,601.7702)	(21.6985,-46.7799,604.6266)	(-23.4680,16.6395,594.1573)	
(-29.5109,-12.1723,590.0379)	(-70.1410,-42.7544,615.1560)	(-45.4865,-42.3955,610.0238)	(-5.5559,-43.6496,600.7938)	(19.6109,-46.7861,604.6584)	(-26.5601,17.6597,595.1447)	
(-37.6958,-12.2289,591.0790)	(-74.7256,-43.0529,619.1832)	(-49.7636,-42.4796,612.0440)	(-9.7206,-43.6621,600.8168)	(16.4123,-47.8403,601.6650)	(-32.7557,17.6473,595.2102)	
(-39.7133,-13.2515,591.0904)	(-77.0386,-43.2022,621.1897)	(-51.8855,-42.4859,612.0558)	(-12.8464,-43.7524,600.8371)	(14.3218,-45.7602,602.6542)	(-34.8331,15.6143,596.2177)	
(-42.8558,-12.2443,591.1286)	(-79.2786,-43.2801,622.2018)	(-56.2306,-42.6414,614.0793)	(-17.0244,-43.6095,600.8542)	(7.9501,-48.6576,600.7002)	(-41.0731,15.6195,598.2268)	
(-48.9664,-12.2597,591.1725)	(-83.9733,-42.4197,626.2386)	(-60.6609,-42.8682,615.1060)	(-21.1756,-43.7712,601.8814)	(4.7799,-47.6274,598.7360)	(-45.2232,16.6542,598.2583)	
(-53.2002,-12.3407,594.1745)	(-86.2409,-41.5523,628.2482)	(-65.0037,-43.9453,618.1268)	(-25.3503,-43.7838,601.9016)	(0.6321,-47.6430,598.7489)	(-48.3428,17.6796,598.2828)	
(-57.3158,-12.3531,595.1876)	(-88.6096,-43.8064,629.2544)	(-67.2111,-43.9517,619.1372)	(-29.5187,-45.8858,601.9176)	(-3.5576,-47.5772,597.7782)	(-52.5720,15.6391,600.2965)	
(-61.5475,-12.4114,596.2164)	(-90.7968,-42.7216,630.2730)	(-68.3570,-43.1049,620.1448)	(-32.6435,-47.8120,601.9306)	(-7.7047,-48.5411,598.7819)	(-56.8382,15.6679,602.3176)	
(-65.8130,-13.5012,598.2513)	(-93.4081,-41.9089,633.2918)	(-70.5796,-43.1828,620.1596)	(-35.7808,-44.6977,601.9580)	(-11.8641,-48.5505,597.8110)	(-58.9754,15.6823,603.3238)	
(-70.0281,-12.5312,599.2730)	(-93.5158,-41.9802,634.2892)	(-72.8092,-43.2607,621.1716)	(-36.8892,-44.0424,602.9694)	(-14.9682,-47.6052,597.8298)	(-63.2956,17.8233,605.3650)	
(-70.1000,-13.5384,600.2634)	(-95.9359,-42.1230,636.2992)	(-75.0456,-43.3386,623.1810)	(-38.9348,-45.9922,602.9694)	(-14.9713,-47.6052,597.8240)	(-63.2893,17.8233,605.3564)	
(-70.1000,-12.5312,599.2831)	(-95.9359,-43.0770,636.3022)	(-75.2121,-41.3124,625.1902)	(-38.9870,-44.0487,604.9807)	(-14.9744,-47.6052,597.8240)	(-65.5262,17.8683,607.3776)	
