(-8.7259,-54.8418,597.7698)	(15.1803,-51.7574,598.6542)	(-0.5558,-12.2537,597.8726)	(-1.0880,0.1997,585.9517)	(-43.2909,-37.9549,608.0266)	(-20.1083,-34.7167,607.9112)	(20.0738,-31.4878,609.7114)	(42.8345,-30.6817,614.5874)	(-32.8608,33.3906,600.2596)	(-5.9852,26.9322,594.0672)	(16.1597,37.8299,602.0260)	(-8.1540,44.3491,592.1671)	
(-7.6892,-55.8796,597.7571)	(15.1803,-51.7512,598.6457)	(-2.6293,-12.2569,596.9001)	(-1.0880,0.1997,586.9362)	(-45.4658,-38.0900,610.0381)	(-20.1065,-34.7167,607.9112)	(18.9538,-30.4925,609.7173)	(42.8376,-30.6753,614.5802)	(-32.8608,33.3937,600.2596)	(-5.9852,26.9322,593.0926)	(16.1566,37.8299,602.0202)	(-8.1540,44.3491,592.1656)	
(-8.7531,-54.7482,596.7704)	(15.1803,-51.7574,598.6542)	(-0.5558,-12.2701,597.8868)	(-1.0910,0.1978,586.9587)	(-45.4324,-38.0256,609.0381)	(-20.1083,-34.7167,607.9112)	(18.0290,-31.4910,609.7173)	(42.8345,-30.6721,614.5743)	(-30.7708,33.3498,599.2478)	(-5.9852,26.9322,593.0899)	(16.1597,37.8299,602.0160)	(-8.1540,44.3491,592.1600)	
(-8.7081,-54.8418,598.7606)	(15.1803,-51.7574,598.6557)	(-0.5558,-12.2506,597.8810)	(-1.9778,0.1966,586.9418)	(-45.4324,-38.0256,609.0381)	(-20.1083,-34.7167,607.9112)	(18.9506,-30.4925,609.7114)	(43.0417,-28.6344,616.5712)	(-30.7708,33.3467,599.2478)	(-6.0172,26.9322,593.0827)	(16.1597,37.8299,602.0160)	(-8.1540,44.3491,592.1671)	
(-7.7181,-55.7874,597.7398)	(15.1803,-51.7512,598.6457)	(-0.5558,-12.2701,597.8882)	(-1.9388,0.1929,587.9528)	(-45.4261,-40.1393,609.0295)	(-20.1065,-34.7790,608.9109)	(18.0290,-31.5383,609.7188)	(42.8345,-28.5440,614.5948)	(-32.8478,33.3467,599.2608)	(-5.9852,26.9322,593.0884)	(16.1504,37.8299,602.0160)	(-8.1540,44.3491,592.1698)	
(-7.6954,-55.7874,597.7568)	(13.1033,-51.7637,598.6629)	(-0.5496,-14.3551,597.8955)	(-1.0880,0.1978,586.9474)	(-45.4324,-38.0256,609.0381)	(-20.1097,-34.7231,608.9094)	(20.0801,-31.4910,609.7114)	(44.9731,-30.6753,614.5874)	(-32.8509,33.3498,599.2636)	(-5.9852,26.9322,593.0842)	(16.2248,37.8904,603.0100)	(-8.1540,44.3491,592.1728)	
(-8.7352,-54.7576,597.7668)	(15.1803,-51.8332,599.6277)	(-0.5558,-12.2701,597.8898)	(-1.0880,0.1997,585.9574)	(-45.4658,-38.0900,610.0381)	(-20.1065,-34.7167,607.9112)	(19.0195,-30.4925,609.7173)	(42.8313,-30.6688,614.5684)	(-30.7708,33.3467,599.2478)	(-6.0172,26.9322,593.0856)	(16.1504,37.8299,602.0160)	(-8.1540,44.3491,592.1671)	
(-7.7150,-55.7874,597.7441)	(15.1803,-51.8332,599.6292)	(-0.5558,-12.2670,597.8853)	(-1.0910,0.1978,586.9474)	(-45.4658,-38.0900,610.0381)	(-22.2195,-34.7231,607.9214)	(18.0259,-31.5415,609.7232)	(45.3039,-28.6827,618.5517)	(-32.8478,33.3498,599.2608)	(-5.9852,26.9753,594.0771)	(16.0915,37.7694,601.9958)	(-8.1540,44.3491,592.1714)	
(-10.8057,-54.7544,597.7641)	(15.1803,-51.7543,598.6484)	(-0.5087,-14.3718,598.8752)	(-1.1317,0.1997,585.9630)	(-45.4324,-38.0256,609.0381)	(-20.1083,-34.7167,607.9112)	(20.0833,-31.5351,610.6991)	(45.3007,-28.6795,617.5732)	(-32.8478,33.3498,599.2608)	(-5.9852,26.9322,594.0672)	(16.1504,37.8299,601.9958)	(-8.1540,44.3491,592.1558)	
(-8.7259,-54.8418,597.7683)	(15.1803,-51.7512,598.6472)	(-0.5558,-12.2764,598.8766)	(-1.0880,0.1978,586.9459)	(-45.4324,-38.0256,609.0381)	(-20.1083,-34.7167,607.9112)	(19.0195,-30.4925,609.7130)	(43.0417,-28.6344,616.5712)	(-30.7708,33.3467,599.2478)	(-5.9852,26.9322,593.0899)	(16.1597,37.8299,603.0000)	(-8.1540,44.3491,592.1728)	
(-10.8057,-54.7544,597.7783)	(15.1803,-51.7543,598.6499)	(-2.6666,-12.2342,595.9004)	(-1.9388,0.1948,586.9587)	(-45.4387,-35.9120,609.0468)	(-22.2195,-34.7199,607.9214)	(20.0769,-31.5351,609.7071)	(42.8313,-28.5473,614.6020)	(-32.8545,33.3498,600.2569)	(-5.9852,26.9384,593.0984)	(16.1597,37.8299,602.9856)	(-8.1602,46.4040,592.1756)	
(-10.8057,-54.7576,597.7726)	(15.1803,-51.8332,598.6557)	(-2.6666,-12.2537,596.9001)	(-1.0910,0.1978,586.9544)	(-45.4387,-35.9120,609.0468)	(-22.2210,-34.7167,607.9154)	(20.0769,-31.5351,609.7071)	(45.1905,-28.6344,616.5799)	(-32.8545,33.3498,600.2512)	(-5.9852,26.9322,593.0926)	(16.1535,37.8299,601.9958)	(-8.1602,46.4040,592.1740)	
(-10.8088,-54.7607,597.7598)	(16.2095,-49.6721,598.6484)	(-2.6666,-12.2506,596.8929)	(-1.9388,0.1948,586.9587)	(-45.4387,-35.9120,609.0468)	(-22.2227,-32.6621,608.9224)	(19.0195,-28.4207,610.7164)	(42.8249,-26.4096,614.6108)	(-32.8478,33.3498,600.2569)	(-5.9852,26.9753,594.0630)	(16.1597,37.8299,602.0260)	(-8.1256,44.4216,593.1559)	
(-8.7593,-52.6761,597.7696)	(16.2095,-49.6721,598.6484)	(-0.5558,-12.2670,597.8840)	(-1.0910,0.1978,586.9587)	(-45.4721,-35.9729,610.0468)	(-20.1160,-32.6129,608.9165)	(20.1380,-29.4180,610.7121)	(45.2943,-26.5347,617.5820)	(-32.8478,33.3498,599.2608)	(-8.0734,26.9260,593.0899)	(16.2186,39.9833,603.0287)	(-8.1602,46.4040,592.1726)	
(-8.7593,-52.6761,597.7654)	(16.2095,-49.6659,598.6399)	(-2.6293,-12.2600,597.8840)	(-1.9388,0.1948,587.9472)	(-43.2972,-35.8447,608.0352)	(-20.1178,-32.6097,607.9242)	(19.0163,-28.3690,609.7275)	(42.8153,-24.2752,614.6211)	(-32.8348,33.2871,598.2590)	(-8.0734,26.9260,593.0899)	(14.1184,39.0612,603.0360)	(-10.2130,46.3978,592.1827)	
(-6.6893,-51.6400,596.7674)	(16.2033,-47.5899,598.6542)	(-2.6293,-12.2733,597.8898)	(-3.1200,0.1917,586.9741)	(-43.3272,-35.9056,609.0351)	(-20.1209,-32.6066,607.9182)	(19.0788,-26.2969,610.7267)	(43.0257,-22.2136,616.5974)	(-34.9021,31.2053,598.2620)	(-10.1046,26.9198,593.1211)	(12.0307,39.0549,603.0476)	(-12.2442,46.4675,593.1955)	
(-4.5851,-51.7221,597.7554)	(16.2033,-47.5962,598.6642)	(-1.6799,-10.1686,595.9103)	(-3.0827,0.1917,586.9699)	(-43.3208,-38.0193,609.0236)	(-20.1195,-34.6545,606.9157)	(19.0725,-26.2937,610.7208)	(42.8090,-20.0096,614.6430)	(-36.9955,31.2489,599.2710)	(-12.1859,26.9136,593.1084)	(9.8852,41.0171,603.0519)	(-14.3185,46.3855,592.2096)	
(-2.5491,-51.6276,596.7445)	(20.3541,-45.5046,598.6524)	(0.4292,-10.1847,596.9043)	(-1.1348,2.2338,585.9560)	(-41.1766,-40.0588,608.0062)	(-19.0735,-33.5470,606.9185)	(20.0611,-25.1838,610.7252)	(43.8687,-18.9328,616.6032)	(-36.9619,33.2245,597.2844)	(-9.1375,28.9316,592.1068)	(8.9941,42.2657,606.0503)	(-13.3013,48.4403,592.2181)	
(2.6168,-49.5430,596.7243)	(24.4988,-43.4162,598.6366)	(2.4533,-10.1531,595.8844)	(-1.1317,2.2322,584.9449)	(-36.9440,-40.0493,606.9858)	(-16.9884,-33.4739,605.9056)	(22.3114,-21.0159,611.7362)	(44.9094,-12.5232,614.6309)	(-38.9853,33.1117,595.2924)	(-11.2602,28.7859,589.1278)	(4.4546,46.8939,598.1234)	(-17.4326,47.2514,590.2262)	
(4.6868,-47.4708,596.7328)	(22.4821,-39.3193,599.6474)	(0.2955,-8.0654,594.8905)	(-1.1317,2.2322,584.9505)	(-35.8885,-40.8832,606.9772)	(-14.8872,-33.3625,605.8897)	(22.3083,-20.9859,611.7346)	(44.9094,-10.3984,614.6662)	(-41.0423,31.0433,595.2981)	(-13.3286,29.8081,588.1403)	(2.3323,46.8117,598.0992)	(-20.5014,48.2601,590.2360)	
(6.7569,-47.4584,596.7129)	(24.6512,-39.3805,600.6294)	(2.4011,-8.0687,594.9090)	(0.1010,2.2384,586.9502)	(-33.7839,-39.9688,606.9655)	(-12.8403,-33.2989,604.8668)	(24.3527,-17.8019,610.7497)	(47.2721,-8.2853,616.6618)	(-41.0691,31.0869,596.2929)	(-13.3026,28.7798,589.1321)	(2.1921,46.5837,594.1330)	(-18.4900,52.1895,588.2492)	
(13.9154,-44.1729,595.6844)	(30.7111,-36.1674,599.6096)	(8.5220,-3.9109,593.8692)	(3.0147,4.2943,586.9344)	(-29.5609,-41.9917,605.9310)	(-7.7028,-31.0355,600.8536)	(29.6299,-14.5664,610.7041)	(53.6737,-3.9866,616.6482)	(-36.8655,32.9549,592.2841)	(-9.2835,32.7741,587.1162)	(6.3487,50.8025,595.0990)	(-16.4801,52.0231,586.2444)	
