(-1.0880,0.1997,585.9517)	(-43.2909,-37.9549,608.0266)	(-20.1083,-34.7167,607.9112)	(20.0738,-31.4878,609.7114)	(42.8345,-30.6817,614.5874)	(-5.9852,26.9322,594.0672)	
(-1.0880,0.1997,586.9362)	(-45.4658,-38.0900,610.0381)	(-20.1065,-34.7167,607.9112)	(18.9538,-30.4925,609.7173)	(42.8376,-30.6753,614.5802)	(-5.9852,26.9322,593.0926)	
(-1.0910,0.1978,586.9587)	(-45.4324,-38.0256,609.0381)	(-20.1083,-34.7167,607.9112)	(18.0290,-31.4910,609.7173)	(42.8345,-30.6721,614.5743)	(-5.9852,26.9322,593.0899)	
(-1.9778,0.1966,586.9418)	(-45.4324,-38.0256,609.0381)	(-20.1083,-34.7167,607.9112)	(18.9506,-30.4925,609.7114)	(43.0417,-28.6344,616.5712)	(-6.0172,26.9322,593.0827)	
(-1.9388,0.1929,587.9528)	(-45.4261,-40.1393,609.0295)	(-20.1065,-34.7790,608.9109)	(18.0290,-31.5383,609.7188)	(42.8345,-28.5440,614.5948)	(-5.9852,26.9322,593.0884)	
(-1.0880,0.1978,586.9474)	(-45.4324,-38.0256,609.0381)	(-20.1097,-34.7231,608.9094)	(20.0801,-31.4910,609.7114)	(44.9731,-30.6753,614.5874)	(-5.9852,26.9322,593.0842)	
(-1.0880,0.1997,585.9574)	(-45.4658,-38.0900,610.0381)	(-20.1065,-34.7167,607.9112)	(19.0195,-30.4925,609.7173)	(42.8313,-30.6688,614.5684)	(-6.0172,26.9322,593.0856)	
(-1.0910,0.1978,586.9474)	(-45.4658,-38.0900,610.0381)	(-22.2195,-34.7231,607.9214)	(18.0259,-31.5415,609.7232)	(45.3039,-28.6827,618.5517)	(-5.9852,26.9753,594.0771)	
(-1.1317,0.1997,585.9630)	(-45.4324,-38.0256,609.0381)	(-20.1083,-34.7167,607.9112)	(20.0833,-31.5351,610.6991)	(45.3007,-28.6795,617.5732)	(-5.9852,26.9322,594.0672)	
(-1.0880,0.1978,586.9459)	(-45.4324,-38.0256,609.0381)	(-20.1083,-34.7167,607.9112)	(19.0195,-30.4925,609.7130)	(43.0417,-28.6344,616.5712)	(-5.9852,26.9322,593.0899)	
(-1.9388,0.1948,586.9587)	(-45.4387,-35.9120,609.0468)	(-22.2195,-34.7199,607.9214)	(20.0769,-31.5351,609.7071)	(42.8313,-28.5473,614.6020)	(-5.9852,26.9384,593.0984)	
(-1.0910,0.1978,586.9544)	(-45.4387,-35.9120,609.0468)	(-22.2210,-34.7167,607.9154)	(20.0769,-31.5351,609.7071)	(45.1905,-28.6344,616.5799)	(-5.9852,26.9322,593.0926)	
(-1.9388,0.1948,586.9587)	(-45.4387,-35.9120,609.0468)	(-22.2227,-32.6621,608.9224)	(19.0195,-28.4207,610.7164)	(42.8249,-26.4096,614.6108)	(-5.9852,26.9753,594.0630)	
(-1.0910,0.1978,586.9587)	(-45.4721,-35.9729,610.0468)	(-20.1160,-32.6129,608.9165)	(20.1380,-29.4180,610.7121)	(45.2943,-26.5347,617.5820)	(-8.0734,26.9260,593.0899)	
(-1.9388,0.1948,587.9472)	(-43.2972,-35.8447,608.0352)	(-20.1178,-32.6097,607.9242)	(19.0163,-28.3690,609.7275)	(42.8153,-24.2752,614.6211)	(-8.0734,26.9260,593.0899)	
(-3.1200,0.1917,586.9741)	(-43.3272,-35.9056,609.0351)	(-20.1209,-32.6066,607.9182)	(19.0788,-26.2969,610.7267)	(43.0257,-22.2136,616.5974)	(-10.1046,26.9198,593.1211)	
