(-103.8085,14.4402,838.7466)	(-151.8319,3.2248,872.7606)	(-128.8794,2.6119,870.6789)	(-95.1714,1.1723,881.5407)	(-72.7138,1.2172,888.5131)	(-100.6310,50.9171,839.0749)
(-101.4401,17.2753,834.7495)	(-151.5406,3.2248,870.7842)	(-127.5964,3.2248,870.7342)	(-93.6384,2.7079,881.6194)	(-71.1634,2.7691,890.4524)	(-99.0035,52.2652,837.0830)
(-103.4461,16.4162,836.7980)	(-154.8598,3.2248,872.7831)	(-130.8754,3.2248,872.6940)	(-95.1714,2.7047,879.6331)	(-72.7138,1.2172,888.5184)	(-99.1644,50.9212,837.0952)
(-103.4501,17.3464,838.7466)	(-153.6364,3.2248,872.7906)	(-131.2438,4.1292,874.7249)	(-93.6427,3.2248,881.5997)	(-71.1634,2.7691,890.4577)	(-100.6228,52.3821,837.1190)
(-104.9086,17.3423,838.7704)	(-156.3737,4.0430,872.8048)	(-133.9145,3.2248,874.7129)	(-96.7044,2.7035,881.5763)	(-75.6385,2.7648,888.5092)	(-100.6351,52.3780,839.0850)
(-104.9086,17.3758,838.7755)	(-155.1581,3.2248,872.7973)	(-132.7664,4.1249,877.7211)	(-95.1757,3.2248,881.6141)	(-74.2641,2.7648,888.5328)	(-100.6310,52.3780,839.0936)
(-101.9999,20.2991,840.7564)	(-152.1402,5.5904,874.8150)	(-128.2029,4.1421,877.7144)	(-93.6470,4.2434,883.5505)	(-69.6217,4.3212,890.5212)	(-100.4666,55.4277,839.1296)
(-101.6402,21.6557,838.8064)	(-153.6449,7.1104,874.8345)	(-129.7212,5.6715,877.7272)	(-95.0162,5.7732,881.6232)	(-72.5568,5.8646,890.5120)	(-99.1766,56.7688,839.1246)
(-100.5414,21.7354,838.7877)	(-153.6449,7.1104,874.8292)	(-129.7212,5.6672,877.7272)	(-93.4909,7.3096,881.6323)	(-71.0117,5.8689,890.5265)	(-99.1766,56.7688,839.1123)
(-101.9958,20.2710,838.8165)	(-150.6143,4.0728,874.7850)	(-127.8364,4.1347,874.7076)	(-92.1140,4.2454,881.5983)	(-69.4708,4.3187,888.5405)	(-99.1807,53.9675,839.1195)
